Listing No,Last Update Date,Listing status,Residence Type,Property Structure,Number Of Room + Hall,Gross/Net m²,Floor,Property Age,Heating Type,Number of Floors,Loan Availability,Furnishing Status,Number of Bathrooms,Structure Type,State of the Building,Usage Status,Title Deed Status,Dues,Swap,Facade,Rental Income,Fuel Type,Authorized Office,City,District,Town,Price
136068-94,10-07-2023,For Sale,Apartment,,2 + 1,100 m2,2. Floor,11 at Age,Combi Boiler,3 Storey,Available,Not Furnished,1,,,Owner,Floor Easement,,No,"South, East",,,,Kayseri,Talas,Kiçiköy,"
                    1.050.000 TRY
                  "
73912-2140,19-07-2023,For Sale,Apartment,,3 + 1,145 m2,1. Floor,16 at Age,Central,10 Storey,Not Available,Not Furnished,1,,,Empty,Condominium,,No,"North, East",,,,Kayseri,Kocasinan,Beyazşehir,"
                    1.270.000 TRY
                  "
128489-119,04-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,2. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"North, South",4.000 TRY,Gas,Yes,Kayseri,Melikgazi,Gesi Fatih,"
                    1.825.000 TRY
                  "
134967-108,10-07-2023,For Sale,Apartment,,3 + 1,145 m2,1. Floor,11 at Age,Central,15 Storey,Available,Not Furnished,1,,,Owner,Condominium,200 TRY,No,"South, West",,,,Kayseri,Talas,Mevlana,"
                    1.275.000 TRY
                  "
132363-380,12-07-2023,For Sale,Apartment,,3 + 1,175 m2,5. Floor,3 at Age,Central,12 Storey,Not Available,Not Furnished,1,,,Tenanted,Condominium,,No,"South, East",,,,Kayseri,Melikgazi,Bahçelievler,"
                    1.440.000 TRY
                  "
132875-305,02-08-2023,For Sale,Apartment,Daire,3 + 1,165 m2,Middle Floor,4 at Age,Central Heating (Share Meter),14 Storey,Available,Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"North, South, East",,Gas,Yes,Kayseri,Melikgazi,19 Mayıs,"
                    1.650.000 TRY
                  "
130207-128,05-07-2023,For Sale,Apartment,Daire,3 + 1,135 m2,Middle Floor,New Property,Combi Boiler,4 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,,,,,,Gas,,Kayseri,Develi,Mustafa Asım Köksal,"
                    1.450.000 TRY
                  "
120578-553,10-05-2023,For Sale,Apartment,,3 + 1,165 m2,14. Floor,5 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,1,,,Empty,Condominium,250 TRY,No,"North, East",,,,Kayseri,Talas,Mevlana,"
                    1.270.000 TRY
                  "
75931-2375,15-07-2023,For Sale,Apartment,Daire,2 + 1,100 m2,Middle Floor,New Property,Combi Boiler,4 Storey,Available,Not Furnished,1,Reinforced Concrete,Under Construction,Empty,Condominium,,No,"North, South, East",,Gas,Yes,Kayseri,Develi,Mustafa Asım Köksal,"
                    1.250.000 TRY
                  "
116875-512,04-08-2023,For Sale,Apartment,Daire,3 + 1,145 m2,3. Floor,New Property,Combi Boiler,4 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"South, East, West",,Gas,Yes,Kayseri,Develi,Alpaslan,"
                    1.600.000 TRY
                  "
