Listing No,Last Update Date,Listing status,Residence Type,Property Structure,Number Of Room + Hall,Gross/Net m²,Floor,Property Age,Heating Type,Number of Floors,Loan Availability,Furnishing Status,Number of Bathrooms,Structure Type,State of the Building,Usage Status,Title Deed Status,Dues,Swap,Facade,Rental Income,Fuel Type,Authorized Office,City,District,Town,Price
0-40597953,29-07-2023,For Sale,Apartment,Daire,3 + 1,140 m2,5. Floor,20 at Age,Central,15 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,320 TRY,No,"South, East",5.000 TRY,Gas,,Kayseri,Talas,Mevlana,"
                    1.420.000 TRY
                  "
4453-7894,26-07-2023,For Sale,Apartment,Daire,2 + 1,100 m2,11. Floor,11 at Age,Central Heating (Share Meter),11 Storey,Not Available,Not Furnished,2,,Second Hand,Tenanted,,,No,,,,Yes,Kayseri,Talas,Mevlana,"
                    1.580.000 TRY
                  "
128489-134,12-07-2023,For Sale,Apartment,Daire,4 + 1,210 m2,5. Floor,New Property,Central Heating (Share Meter),14 Storey,Not Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"South, West",5.000 TRY,Gas,Yes,Kayseri,Talas,Mevlana,"
                    2.800.000 TRY
                  "
112156-273,26-07-2023,For Sale,Villa,Bahçe Dubleksi,5 + 1,1.271 m2,,New Property,Combi Boiler,2 Storey,Available,Not Furnished,5,Reinforced Concrete,0,Empty,Condominium,,No,"North, South, East, West",,Gas,Yes,Kayseri,Hacılar,Akdam,"
                    6.550.000 TRY
                  "
65534-447,06-08-2023,For Sale,Apartment,Daire,3 + 1,165 m2,6. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Owner,Condominium,,No,South,8.000 TRY,,Yes,Kayseri,Kocasinan,Saray Bosna,"
                    180.000 TRY
                  "
113524-1000,19-07-2023,For Sale,Apartment,,2 + 1,125 m2,Raised Ground Floor,2 at Age,Central,3 Storey,Available,Furnished,1,,,Tenanted,Condominium,250 TRY,No,South,,,,Kayseri,Talas,Bahçelievler,"
                    1.370.000 TRY
                  "
91207-2565,09-06-2023,For Sale,Apartment,,3 + 1,170 m2,2. Floor,New Property,Central,9 Storey,Not Available,Not Furnished,1,,,Empty,Floor Easement,,No,"North, East, West",,,,Kayseri,Melikgazi,Demokrasi,"
                    1.380.000 TRY
                  "
48181-626,12-07-2023,For Sale,Apartment,Daire,3 + 1,130 m2,5. Floor,20 at Age,Central,9 Storey,Available,Not Furnished,1,Masonry,Second Hand,Tenanted,Condominium,,No,"South, East",,Gas,Yes,Kayseri,Melikgazi,Kocatepe,"
                    1.280.000 TRY
                  "
125331-646,05-08-2023,For Sale,Apartment,,3 + 1,180 m2,3. Floor,New Property,Central Heating (Share Meter),11 Storey,Available,Not Furnished,2,,,Empty,Floor Easement,,No,"South, East, West",,,,Kayseri,Melikgazi,İldem Cumhuriyet,"
                    2.250.000 TRY
                  "
129564-95,24-07-2023,For Sale,Villa,Dubleks,5 + 1,230 m2,,New Property,Combi Boiler,1 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,"North, South, East, West",15.000 TRY,Gas,Yes,Kayseri,Melikgazi,Gesi,"
                    6.230.000 TRY
                  "
0-40388005,01-08-2023,For Sale,Apartment,Daire,3 + 1,150 m2,6. Floor,30 at Age,Central,6 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,500 TRY,No,"East, West",8.000 TRY,Gas,,Kayseri,Kocasinan,Erciyesevler,"
                    1.375.000 TRY
                  "
0-40794017,04-08-2023,For Sale,Apartment,Daire,3 + 1,150 m2,6. Floor,New Property,Central Heating (Share Meter),9 Storey,Available,Not Furnished,2,Reinforced Concrete,Under Construction,Empty,Floor Easement,,No,"South, East, West",10.000 TRY,Gas,,Kayseri,Talas,Kiçiköy,"
                    3.500.000 TRY
                  "
134309-183,02-08-2023,For Sale,Apartment,,4 + 1,210 m2,6. Floor,New Property,Central Heating (Share Meter),13 Storey,Available,,2,,,Empty,Condominium,,No,"South, East",,,,Kayseri,Kocasinan,Yakut,"
                    4.790.000 TRY
                  "
138835-9,25-07-2023,For Sale,Apartment,,3 + 1,170 m2,7. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,1,,,Empty,Condominium,,No,,,,,Kayseri,Kocasinan,Ziyagökalp,"
                    1.750.000 TRY
                  "
123456-325,30-07-2023,For Sale,Apartment,,2 + 1,100 m2,4. Floor,New Property,Combi Boiler,9 Storey,Available,Not Furnished,1,,,Empty,Condominium,,No,,,,,Kayseri,Kocasinan,Şeker,"
                    1.344.000 TRY
                  "
99212-2490,03-08-2023,For Sale,Apartment,Daire,2 + 1,110 m2,Raised Ground Floor,New Property,Combi Boiler,4 Storey,Available,Not Furnished,1,Reinforced Concrete,Under Construction,Empty,Condominium,,No,"North, South, East, West",5.000 TRY,Gas,Yes,Kayseri,Develi,Aşık Seyrani,"
                    1.149.000 TRY
                  "
124130-234,15-07-2023,For Sale,Apartment,Daire,3 + 1,150 m2,Raised Ground Floor,12 at Age,Central Heating (Share Meter),13 Storey,Available,Not Furnished,1,,Second Hand,Owner,,250 TRY,,,,,Yes,Kayseri,Kocasinan,Turgut Reis,"
                    1.250.000 TRY
                  "
75931-1809,02-08-2023,For Sale,Detached House,Müstakil Ev,3 + 1,150 m2,,25 at Age,Combi Boiler,1 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,,,No,"North, South, East, West",,Gas,Yes,Kayseri,Develi,Fatih,"
                    3.100.000 TRY
                  "
132235-138,03-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,4. Floor,7 at Age,Central,10 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,175 TRY,No,"North, South, East",5.000 TRY,Gas,Yes,Kayseri,Talas,Mevlana,"
                    1.850.000 TRY
                  "
120578-828,25-06-2023,For Sale,Apartment,,3 + 1,130 m2,2. Floor,16 at Age,Combi Boiler,3 Storey,Not Available,Not Furnished,1,,,Tenanted,,,No,East,,,,Kayseri,Kocasinan,Fevzi Çakmak,"
                    720.000 TRY
                  "
87047-1076,03-08-2023,For Sale,Apartment,,3 + 1,150 m2,Raised Ground Floor,15 at Age,Combi Boiler,3 Storey,Available,Not Furnished,1,,,,,,,,,,,Kayseri,Melikgazi,Esenyurt,"
                    1.070.000 TRY
                  "
125140-1090,02-08-2023,For Sale,Apartment,Daire,2 + 1,70 m2,4. Floor,10 at Age,Central,4 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,,No,"South, West",4.000 TRY,Gas,Yes,Kayseri,Melikgazi,Demokrasi,"
                    835.000 TRY
                  "
132642-95,14-07-2023,For Sale,Apartment,Daire,3 + 1,180 m2,5. Floor,25 at Age,Central,13 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,,No,"North, South, East",6.500 TRY,Gas,Yes,Kayseri,Melikgazi,Hürriyet,"
                    1.514.000 TRY
                  "
73912-2155,05-08-2023,For Sale,Apartment,,4 + 0,180 m2,6. Floor,5 at Age,Central,11 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,"South, East",,,,Kayseri,Melikgazi,Bahçelievler,"
                    1.425.000 TRY
                  "
138806-9,24-07-2023,For Sale,Villa,Çatı Dubleksi,6 + 1,750 m2,,New Property,Combi Boiler,2 Storey,Not Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,"North, South, East, West",20.000 TRY,Gas,Yes,Kayseri,Melikgazi,Gesi,"
                    6.075.000 TRY
                  "
4594-346,16-06-2023,For Sale,Apartment,Daire,3 + 1,180 m2,Middle Floor,11 at Age,Central,11 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Empty,Condominium,1.500 TRY,No,"East, West",10.000 TRY,Gas,Yes,Kayseri,Melikgazi,Köşk,"
                    2.500.000 TRY
                  "
72685-150,20-07-2023,For Sale,Apartment,Daire,2 + 1,115 m2,8. Floor,New Property,Central Heating (Share Meter),9 Storey,Available,Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"North, South, East, West",,Gas,,Kayseri,Kocasinan,Şeker,"
                    1.750.000 TRY
                  "
128489-137,11-07-2023,For Sale,Apartment,Daire,2 + 1,100 m2,4. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Condominium,,No,"North, West",3.500 TRY,Gas,Yes,Kayseri,Talas,Mevlana,"
                    1.680.000 TRY
                  "
0-39423534,03-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,14. Floor,13 at Age,Central,14 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,300 TRY,No,"South, West",,Gas,,Kayseri,Talas,Mevlana,"
                    2.000.000 TRY
                  "
0-40813930,13-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,10. Floor,7 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"South, East",,Gas,,Kayseri,Talas,Mevlana,"
                    2.500.000 TRY
                  "
78539-802,10-07-2023,For Sale,Detached House,Müstakil Ev,5 + 1,250 m2,,20 at Age,Combi Boiler,1 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Floor Easement,,No,"North, South, East, West",8.000 TRY,Gas,Yes,Kayseri,Bünyan,Sümer,"
                    2.500.000 TRY
                  "
125486-1527,05-08-2023,For Sale,Detached House,,8 + 1,500 m2,Garden Floor,New Property,Combi Boiler,2 Storey,Not Available,Not Furnished,3,,,Empty,Floor Easement,,No,"South, East, West",,,,Kayseri,Talas,Kuruköprü,"
                    7.650.000 TRY
                  "
100242-445,28-07-2023,For Sale,Detached House,,3 + 1,155 m2,Garden Floor,4 at Age,Heating Stove,1 Storey,Available,Not Furnished,1,,,Owner,Condominium,,No,"North, South, East, West",,,,Kayseri,Tomarza,Yavuzselim,"
                    1.500.000 TRY
                  "
138536-31,26-07-2023,For Sale,Apartment,Daire,3 + 1,150 m2,Ground Floor,1 at Age,Combi Boiler,4 Storey,Not Available,Not Furnished,1,Reinforced Concrete,0,Empty,,,No,,,Gas,Yes,Kayseri,Develi,Feneseaşağı,"
                    1.250.000 TRY
                  "
114614-1201,05-08-2023,For Sale,Apartment,Daire,3 + 1,140 m2,Top Floor,New Property,Combi Boiler,4 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Condominium,,No,"North, East",,Gas,Yes,Kayseri,Develi,Reşadiye,"
                    1.500.000 TRY
                  "
0-40938085,11-06-2023,For Sale,Apartment,Daire,3 + 1,155 m2,6. Floor,5 at Age,Combi Boiler,7 Storey,Unknown,Not Furnished,2,Reinforced Concrete,Second Hand,Tenanted,,100 TRY,No,"North, South, East, West",4.000 TRY,Gas,,Kayseri,Talas,Mevlana,"
                    2.200.000 TRY
                  "
0-41060963,06-08-2023,For Sale,Detached House,Müstakil Ev,1 + 1,1.200 m2,,15 at Age,Heating Stove,1 Storey,Available,Not Furnished,1,Stone Building,Second Hand,Empty,Condominium,,,,,Coal-Wood,,Kayseri,İncesu,Hamurcu,"
                    1.350.000 TRY
                  "
0-4645908,04-08-2023,For Sale,Apartment,Daire,3 + 1,170 m2,8. Floor,11 at Age,Central,8 Storey,Available,,2,Reinforced Concrete,0,Empty,Condominium,400 TRY,No,"East, West",12.000 TRY,Gas,,Kayseri,Melikgazi,Gökkent,"
                    1.750.000 TRY
                  "
123778-528,02-08-2023,For Sale,Villa,,5 + 1,360 m2,Garden Floor,5 at Age,Combi Boiler,2 Storey,Not Available,Not Furnished,3,,,Empty,,,No,"North, South, East, West",,,,Kayseri,Melikgazi,Eğribucak,"
                    14.900.000 TRY
                  "
0-38132033,04-06-2023,For Sale,Apartment,Daire,3 + 1,175 m2,2. Floor,30 at Age,Combi Boiler,5 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Floor Easement,120 TRY,No,North,6.000 TRY,Gas,,Kayseri,Kocasinan,Sümer,"
                    2.000.000 TRY
                  "
0-38850895,24-06-2023,For Sale,Apartment,Daire,3 + 1,175 m2,9. Floor,5 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,150 TRY,No,,,Gas,,Kayseri,Talas,Mevlana,"
                    3.000.000 TRY
                  "
0-38891200,25-06-2023,For Sale,Apartment,Dubleks,4 + 2,350 m2,Underground 3,2 at Age,Combi Boiler,4 Storey,Available,Not Furnished,4,Reinforced Concrete,0,Owner,Condominium,150 TRY,No,"East, West",7.500 TRY,Gas,,Kayseri,Develi,Yeni,"
                    3.650.000 TRY
                  "
0-39106057,15-05-2023,For Sale,Apartment,Daire,3 + 1,165 m2,2. Floor,New Property,Central Heating (Share Meter),12 Storey,Available,Not Furnished,2,Reinforced Concrete,Under Construction,Empty,Floor Easement,,No,South,5.500 TRY,Gas,,Kayseri,Melikgazi,Şirintepe,"
                    1.575.000 TRY
                  "
0-39179478,13-06-2023,For Sale,Detached House,Bahçe Dubleksi,5 + 1,160 m2,,16 at Age,Floor Heater,2 Storey,Available,Furnished,2,Reinforced Concrete,Second Hand,Owner,Land,,No,"South, East, West",,Electric,,Kayseri,Melikgazi,Gesi,"
                    2.650.000 TRY
                  "
0-39318750,21-07-2023,For Sale,Apartment,Daire,3 + 1,150 m2,7. Floor,15 at Age,Central,9 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Tenanted,Floor Easement,1 TRY,No,"North, East",,Gas,,Kayseri,Kocasinan,Osmangazi,"
                    1.350.000 TRY
                  "
0-39319986,27-07-2023,For Sale,Apartment,Daire,3 + 1,185 m2,Top Floor,25 at Age,Central,8 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,700 TRY,,"North, West",3.500 TRY,Gas,,Kayseri,Kocasinan,Sahabiye,"
                    2.000.000 TRY
                  "
0-39525924,19-07-2023,For Sale,Apartment,Daire,3 + 1,170 m2,11. Floor,6 at Age,Central Heating (Share Meter),12 Storey,Available,Not Furnished,2,,Second Hand,Owner,Condominium,320 TRY,No,"South, East, West",9.000 TRY,Gas,,Kayseri,Kocasinan,Uğurevler,"
                    2.350.000 TRY
                  "
0-39550422,02-06-2023,For Sale,Apartment,Daire,4 + 1,240 m2,10. Floor,15 at Age,Central,14 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"South, East",5.000 TRY,Gas,,Kayseri,Kocasinan,Erciyesevler,"
                    3.750.000 TRY
                  "
0-40095378,06-08-2023,For Sale,Apartment,Daire,4 + 1,188 m2,5. Floor,2 at Age,Central Heating (Share Meter),13 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,500 TRY,No,"South, East, West",10.000 TRY,Gas,,Kayseri,Talas,Mevlana,"
                    2.785.000 TRY
                  "
0-40113484,02-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,3. Floor,12 at Age,Central,5 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,200 TRY,No,"North, South, East",2.000 TRY,Gas,,Kayseri,Develi,E. Camiikebir,"
                    1.600.000 TRY
                  "
0-40130870,18-07-2023,For Sale,Apartment,Daire,3 + 1,148 m2,1. Floor,2 at Age,Central Heating (Share Meter),6 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,,225 TRY,No,"North, South, West",3.000 TRY,Gas,,Kayseri,Bünyan,Sağlık,"
                    1.750.000 TRY
                  "
0-40226308,20-07-2023,For Sale,Apartment,Daire,3 + 1,160 m2,8. Floor,15 at Age,Central,8 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,150 TRY,No,"South, East",2.500 TRY,Gas,,Kayseri,Kocasinan,Turgut Reis,"
                    1.650.000 TRY
                  "
0-40230408,06-07-2023,For Sale,Villa,Bahçe Dubleksi,4 + 1,200 m2,,New Property,Combi Boiler,2 Storey,Available,Not Furnished,3,Reinforced Concrete,0,Empty,Condominium,,No,"North, South, East, West",7.500 TRY,Gas,,Kayseri,Develi,Bahçelievler,"
                    5.500.000 TRY
                  "
0-40239554,05-08-2023,For Sale,Apartment,Daire,201 + 1,160 m2,4. Floor,4 at Age,Central Heating (Share Meter),9 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Owner,Condominium,150 TRY,No,West,5.000 TRY,Gas,,Kayseri,Melikgazi,Anbar,"
                    1.200.000 TRY
                  "
136193-1,02-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,Underground 3,New Property,Central Heating (Share Meter),9 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Floor Easement,200 TRY,No,"South, East, West",5.000 TRY,Gas,Yes,Kayseri,Melikgazi,Şirintepe,"
                    1.750.000 TRY
                  "
112156-326,26-07-2023,For Sale,Villa,Bahçe Dubleksi,4 + 1,1.650 m2,,10 at Age,Heating Stove,2 Storey,Available,Furnished,2,Reinforced Concrete,Second Hand,Owner,Condominium,1 TRY,No,"North, South, East, West",,Coal-Wood,Yes,Kayseri,Kocasinan,Oymaağaç,"
                    6.750.000 TRY
                  "
0-40375922,20-07-2023,For Sale,Apartment,Daire,3 + 1,190 m2,5. Floor,5 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Owner,Condominium,400 TRY,No,South,9.500 TRY,Gas,,Kayseri,Talas,Mevlana,"
                    2.950.000 TRY
                  "
0-40497575,19-07-2023,For Sale,Apartment,Daire,3 + 1,215 m2,4. Floor,15 at Age,Central,14 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,200 TRY,No,"North, East",3.500 TRY,Gas,,Kayseri,Melikgazi,Şirintepe,"
                    1.540.000 TRY
                  "
0-40622171,28-05-2023,For Sale,Apartment,Daire,3 + 1,185 m2,1. Floor,13 at Age,Combi Boiler,12 Storey,Unknown,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Floor Easement,200 TRY,No,"North, South, West",,Gas,,Kayseri,Talas,Yenidoğan,"
                    1.500.000 TRY
                  "
0-40765307,10-05-2023,For Sale,Apartment,Daire,3 + 1,165 m2,4. Floor,12 at Age,Combi Boiler,6 Storey,Available,Furnished,2,Reinforced Concrete,Second Hand,Owner,,70 TRY,No,"North, East, West",5.000 TRY,Gas,,Kayseri,Melikgazi,Demokrasi,"
                    1.450.000 TRY
                  "
0-40791628,10-06-2023,For Sale,Apartment,Daire,4 + 1,220 m2,1. Floor,12 at Age,Combi Boiler,14 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,,Condominium,,No,"North, East, West",,Gas,,Kayseri,Talas,Yenidoğan,"
                    2.400.000 TRY
                  "
0-40802916,06-07-2023,For Sale,Apartment,Daire,3 + 1,235 m2,Top Floor,10 at Age,Floor Heater,13 Storey,Unknown,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,400 TRY,No,"South, East, West",,Gas,,Kayseri,Kocasinan,Mimarsinan,"
                    2.870.000 TRY
                  "
0-40810469,19-05-2023,For Sale,Apartment,Daire,3 + 1,175 m2,Underground 3,New Property,Central Heating (Share Meter),13 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,,"South, East",,Gas,,Kayseri,Kocasinan,Osmangazi,"
                    2.000.000 TRY
                  "
0-40824565,07-06-2023,For Sale,Apartment,,3 + 1,170 m2,11. Floor,5 at Age,Central Heating (Share Meter),12 Storey,Available,Not Furnished,2,,,Owner,Condominium,450 TRY,No,"South, East, West",,,,Kayseri,Kocasinan,Uğurevler,"
                    2.075.000 TRY
                  "
0-40850263,06-07-2023,For Sale,Apartment,Daire,3 + 1,170 m2,Top Floor,15 at Age,Central,12 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,,,No,"South, East",,Gas,,Kayseri,Kocasinan,Turgut Reis,"
                    1.300.000 TRY
                  "
0-40850029,10-06-2023,For Sale,Apartment,Daire,2 + 1,125 m2,6. Floor,8 at Age,Central Heating (Share Meter),12 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Empty,Condominium,,No,South,7.000 TRY,Gas,,Kayseri,Melikgazi,Germir,"
                    1.799.000 TRY
                  "
0-40869770,24-07-2023,For Sale,Apartment,,3 + 1,148 m2,1. Floor,1 at Age,Central Heating (Share Meter),6 Storey,Available,Not Furnished,1,,,Tenanted,Condominium,225 TRY,No,"North, South, West",,,,Kayseri,Bünyan,Sağlık,"
                    1.750.000 TRY
                  "
0-40870817,22-06-2023,For Sale,Apartment,,4 + 1,240 m2,14. Floor,5 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Owner,Condominium,,No,"South, East, West",,,,Kayseri,Talas,Bahçelievler,"
                    3.375.000 TRY
                  "
0-40895939,10-07-2023,For Sale,Apartment,,3 + 1,185 m2,9. Floor,5 at Age,Central Heating (Share Meter),14 Storey,Not Available,Not Furnished,2,,,Owner,Condominium,500 TRY,No,"North, South, East",,,,Kayseri,Melikgazi,Altınoluk,"
                    2.550.000 TRY
                  "
0-40896010,10-07-2023,For Sale,Apartment,,3 + 1,155 m2,9. Floor,New Property,Central Heating (Share Meter),14 Storey,Not Available,Not Furnished,1,,,Empty,Floor Easement,,No,"South, East, West",,,,Kayseri,Melikgazi,Esenyurt,"
                    1.450.000 TRY
                  "
0-40897062,04-06-2023,For Sale,Villa,Müstakil Ev,6 + 1,800 m2,,4 at Age,Combi Boiler,3 Storey,Not Available,Not Furnished,4,Reinforced Concrete,Second Hand,Empty,Condominium,,No,"South, East, West",,Gas,,Kayseri,Melikgazi,Erenköy,"
                    17.500.000 TRY
                  "
0-40899188,10-07-2023,For Sale,Apartment,,2 + 1,120 m2,Raised Ground Floor,4 at Age,Central,14 Storey,Available,,1,,,Tenanted,Condominium,350 TRY,No,South,,,,Kayseri,Talas,Mevlana,"
                    1.650.000 TRY
                  "
0-40911807,30-07-2023,For Sale,Apartment,Daire,3 + 1,180 m2,4. Floor,New Property,Central Heating (Share Meter),4 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,"South, West",7.000 TRY,Gas,,Kayseri,Talas,Kiçiköy,"
                    2.700.000 TRY
                  "
0-40987633,23-07-2023,For Sale,Apartment,Daire,3 + 1,160 m2,4. Floor,New Property,Combi Boiler,6 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Floor Easement,,No,South,10.000 TRY,Gas,,Kayseri,Melikgazi,Fatih,"
                    1.800.000 TRY
                  "
0-40993746,11-07-2023,For Sale,Villa,Bahçe Dubleksi,6 + 1,306 m2,,New Property,Combi Boiler,2 Storey,Available,Not Furnished,4,Reinforced Concrete,0,Empty,Condominium,,No,"North, South, East, West",,Gas,,Kayseri,Melikgazi,Altınoluk,"
                    8.550.000 TRY
                  "
0-41044752,05-07-2023,For Sale,Apartment,,3 + 1,150 m2,13. Floor,8 at Age,Central,14 Storey,Available,Not Furnished,2,,,,,,,"South, East",,Gas,,Kayseri,Melikgazi,Gesi Fatih,"
                    2.100.000 TRY
                  "
0-41056731,06-07-2023,For Sale,Apartment,,3 + 1,160 m2,7. Floor,4 at Age,Central,7 Storey,Available,,2,,,Owner,Condominium,250 TRY,No,"North, East",,,,Kayseri,Hacılar,Aşağı,"
                    1.550.000 TRY
                  "
0-41067757,07-07-2023,For Sale,Apartment,,3 + 1,135 m2,3. Floor,26 at Age,Combi Boiler,3 Storey,Available,Not Furnished,1,,,Empty,Floor Easement,,No,"South, West",,,,Kayseri,Kocasinan,Mimarsinan,"
                    975.000 TRY
                  "
132235-139,03-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,4. Floor,8 at Age,Central,10 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"North, South, East",6.000 TRY,Gas,Yes,Kayseri,Talas,Mevlana,"
                    1.850.000 TRY
                  "
125331-585,05-08-2023,For Sale,Apartment,Daire,3 + 1,180 m2,6. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,"North, South, East, West",6.000 TRY,Gas,Yes,Kayseri,Melikgazi,İldem Cumhuriyet,"
                    1.750.000 TRY
                  "
124130-276,11-07-2023,For Sale,Apartment,Daire,3 + 1,160 m2,3. Floor,20 at Age,Combi Boiler,3 Storey,Available,Not Furnished,1,,Second Hand,Tenanted,,,,,,,Yes,Kayseri,Melikgazi,Yıldırım Beyazıt,"
                    995.000 TRY
                  "
128489-151,14-07-2023,For Sale,Apartment,Daire,3 + 1,165 m2,1. Floor,New Property,Central Heating (Share Meter),9 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Floor Easement,,No,"North, West",3.000 TRY,Gas,Yes,Kayseri,Kocasinan,Ertuğrul Gazi,"
                    1.650.000 TRY
                  "
116875-266,04-08-2023,For Sale,Detached House,Müstakil Ev,3 + 1,150 m2,,30 at Age,Heating Stove,1 Storey,Available,Not Furnished,1,Stone Building,Second Hand,Owner,Condominium,,No,"North, South, West",700 TRY,Coal-Wood,Yes,Kayseri,Develi,Reşadiye,"
                    410.000 TRY
                  "
67152-2900,22-07-2023,For Sale,Apartment,Daire,3 + 1,160 m2,Middle Floor,New Property,Combi Boiler,4 Storey,Available,,1,,,,,,,,,,,Kayseri,Develi,Güneyaşağı,"
                    1.350.000 TRY
                  "
84609-3017,18-07-2023,For Sale,Apartment,Daire,4 + 1,280 m2,6. Floor,18 at Age,Combi Boiler,13 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Empty,,,No,"North, South, West",,Gas,Yes,Kayseri,Melikgazi,Gültepe,"
                    3.350.000 TRY
                  "
99212-1413,02-08-2023,For Sale,Apartment,Daire,3 + 1,120 m2,1. Floor,New Property,Combi Boiler,4 Storey,Available,Not Furnished,2,Reinforced Concrete,Under Construction,Empty,Floor Easement,,No,"North, South, East, West",,Gas,Yes,Kayseri,Develi,Bahçelievler,"
                    1.249.000 TRY
                  "
120038-477,27-07-2023,For Sale,Apartment,,3 + 1,165 m2,4. Floor,New Property,Central Heating (Share Meter),9 Storey,Not Available,Not Furnished,2,,,Empty,Condominium,,No,"South, West",,,,Kayseri,Kocasinan,Sancaktepe,"
                    2.200.000 TRY
                  "
87047-1145,05-08-2023,For Sale,Apartment,Daire,2 + 1,130 m2,2. Floor,New Property,Central Heating (Share Meter),12 Storey,Available,Not Furnished,1,,0,,,,No,,,Gas,,Kayseri,Kocasinan,Şeker,"
                    1.345.000 TRY
                  "
692460-1190,04-08-2023,For Sale,Apartment,Daire,2 + 1,128 m2,3. Floor,New Property,Combi Boiler,6 Storey,Not Available,Not Furnished,1,,0,Empty,,,No,,,Gas,Yes,Kayseri,Develi,Reşadiye,"
                    1.500.000 TRY
                  "
64388-893,03-07-2023,For Sale,Apartment,Daire,3 + 1,180 m2,3. Floor,8 at Age,Combi Boiler,5 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Tenanted,Condominium,100 TRY,No,"North, South, East",4.000 TRY,Gas,Yes,Kayseri,Kocasinan,Hoca Ahmet Yesevi,"
                    1.820.000 TRY
                  "
138804-7,05-08-2023,For Sale,Apartment,,4 + 1,200 m2,11. Floor,5 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Owner,Condominium,,No,"North, East",,,,Kayseri,Kocasinan,Barbaros,"
                    2.900.000 TRY
                  "
75931-2274,29-07-2023,For Sale,Villa,Müstakil Ev,2 + 1,135 m2,,New Property,Floor Heater,1 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Land,,No,"North, South, East, West",,Coal-Wood,Yes,Kayseri,Develi,Zile,"
                    3.500.000 TRY
                  "
