İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yatırıma Uygunluk,Eşya Durumu,Banyo Sayısı,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Site İçerisinde,Takas,Fiyat Durumu,Kategori,Konumu,Fiyat,İlan Açıklaması
13690357,06 Ağustos 2023,Satılık,180 M2,0 (Yeni),4,Boş,Bilinmiyor,Boş,2,05 Ağustos 2023,Konut,170 M2,4+1,2.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Adnan Kahveci Mahallesi,"3,243,000",
13697335,06 Ağustos 2023,Satılık,125 M2,0 (Yeni),5,Boş,Yatırıma Uygun,Boş,1,06 Ağustos 2023,Konut,120 M2,2+1,2.Kat,Merkezi Doğalgaz,Hayır,,Genel Fiyat,Daire,İstanbul - Esenyurt - Güzelyurt Mahallesi,"1,150,000",
13684653,06 Ağustos 2023,Satılık,145 M2,0 (Yeni),4,Boş,Yatırıma Uygun,Boş,1,04 Ağustos 2023,Konut,130 M2,3+1,3.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Adnan Kahveci Mahallesi,"3,300,000",
13684962,04 Ağustos 2023,Satılık,110 M2,5-10,4,Boş,Bilinmiyor,Boş,3,04 Ağustos 2023,Konut,90 M2,3+1,Yüksek Giriş,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Kartal - Petroliş Mahallesi,"3,490,000",
13684822,05 Ağustos 2023,Satılık,90 M2,4,4,Mülk Sahibi Oturuyor,Yatırıma Uygun,Boş,1,04 Ağustos 2023,Konut,70 M2,2+1,Düz Giriş (Zemin),Yerden Isıtma,Hayır,Var,Genel Fiyat,Daire,İstanbul - Maltepe - İdealtepe Mahallesi,"5,600,000",
13685328,06 Ağustos 2023,Satılık,100 M2,5-10,5,Boş,Yatırıma Uygun,,1,04 Ağustos 2023,Konut,90 M2,2+1,Yüksek Giriş,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Esenyurt - Yeşilkent Mahallesi,"1,500,000",
13684506,04 Ağustos 2023,Satılık,100 M2,0 (Yeni),3,Mülk Sahibi Oturuyor,Yatırıma Uygun,Boş,1,04 Ağustos 2023,Konut,80 M2,2+1,1.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Sultanbeyli - Adil Mahallesi,"2,285,000",
13683792,05 Ağustos 2023,Satılık,110 M2,3,8,Mülk Sahibi Oturuyor,Yatırıma Uygun,Boş,1,04 Ağustos 2023,Konut,95 M2,1+1,3.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Cumhuriyet Mahallesi,"1,039,000",
13685518,05 Ağustos 2023,Satılık,75 M2,11-15,4,Kiracı Oturuyor,Yatırıma Uygun,,1,04 Ağustos 2023,Konut,68 M2,2+1,Yüksek Giriş,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Bahçelievler - Yenibosna Merkez Mahallesi,"1,600,000",
13683695,04 Ağustos 2023,Satılık,160 M2,11-15,14,Mülk Sahibi Oturuyor,,,2,04 Ağustos 2023,Konut,140 M2,3+1,14.Kat,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Barış Mahallesi,"3,199,000",
13683972,06 Ağustos 2023,Satılık,110 M2,4,5,Boş,Yatırıma Uygun,Boş,1,04 Ağustos 2023,Konut,100 M2,2+1,2.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Esenyurt - Üçevler Mahallesi,"945,000",
13685547,05 Ağustos 2023,Satılık,450 M2,0 (Yeni),3,Boş,,,4,04 Ağustos 2023,Konut,300 M2,4+2,,Yerden Isıtma,Hayır,,Genel Fiyat,Villa,İstanbul - Büyükçekmece - Fatih Mahallesi,"12,000,000",
13684045,06 Ağustos 2023,Satılık,130 M2,4,6,Boş,Yatırıma Uygun,Boş,2,04 Ağustos 2023,Konut,120 M2,3+1,1.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Başakşehir - Bahçeşehir 2. Kısım Mahallesi,"2,549,000",
13685652,04 Ağustos 2023,Satılık,110 M2,3,4,Boş,Yatırıma Uygun,Boş,1,04 Ağustos 2023,Konut,100 M2,2+1,2.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Esenyurt - Balıkyolu Mahallesi,"1,295,000",
13685538,05 Ağustos 2023,Satılık,280 M2,0 (Yeni),2,Boş,,,3,04 Ağustos 2023,Konut,190 M2,3+2,,Kombi Doğalgaz,Hayır,,Genel Fiyat,Villa,İstanbul - Beylikdüzü - Kavaklı Mahallesi,"11,000,000",
13686329,06 Ağustos 2023,Satılık,120 M2,0 (Yeni),5,Boş,Bilinmiyor,Boş,1,04 Ağustos 2023,Konut,110 M2,2+1,1.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Cumhuriyet Mahallesi,"1,379,000",
13686349,04 Ağustos 2023,Satılık,95 M2,0 (Yeni),10,Boş,Yatırıma Uygun,Boş,1,04 Ağustos 2023,Konut,90 M2,1+1,5.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Cumhuriyet Mahallesi,"1,150,000",
13685694,04 Ağustos 2023,Satılık,145 M2,3,4,Boş,Yatırıma Uygun,Boş,1,04 Ağustos 2023,Konut,130 M2,3+1,1.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Esenyurt - Cumhuriyet Mahallesi,"1,659,000",
13686553,04 Ağustos 2023,Satılık,120 M2,5-10,4,Mülk Sahibi Oturuyor,Bilinmiyor,Boş,1,04 Ağustos 2023,Konut,100 M2,3+1,1.Kat,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Maltepe - Bağlarbaşı Mahallesi,"5,100,000",
13687063,05 Ağustos 2023,Satılık,240 M2,21 Ve Üzeri,3,Boş,Yatırıma Uygun,Boş,2,04 Ağustos 2023,Konut,210 M2,4+1,,Kombi Doğalgaz,Evet,,Genel Fiyat,Villa,İstanbul - Silivri - Selimpaşa Mahallesi,"4,195,000",
13683287,04 Ağustos 2023,Satılık,145 M2,16-20,14,Boş,Yatırıma Uygun,Boş,1,04 Ağustos 2023,Konut,135 M2,3+1,4.Kat,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Barış Mahallesi,"3,850,000",BEYLİKDÜZÜ ADAKENT 'TE MERKEZİ KONUMDA 3+1 SATILIK DAİRE. OTOBÜS MİNİBÜS DURAKLARININ YANINDA. İHTİYACINIZ OLAN HERYERE YÜRÜME MESAFESİNDE
13676710,03 Ağustos 2023,Satılık,85 M2,0 (Yeni),5,Boş,,,1,03 Ağustos 2023,Konut,80 M2,2+1,5.Kat,Kombi Doğalgaz,Hayır,,Genel Fiyat,Daire,İstanbul - Zeytinburnu - Yeşiltepe Mahallesi,"3,670,000","Yeşiltepe'de satılık 2+1, Sıfır bina, 85 Mt, Kat: 5 asansörlü"
13677282,06 Ağustos 2023,Satılık,120 M2,0 (Yeni),4,Boş,Yatırıma Uygun,Boş,1,03 Ağustos 2023,Konut,105 M2,2+1,Bahçe Katı,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Adnan Kahveci Mahallesi,"3,149,000",
13677907,03 Ağustos 2023,Satılık,85 M2,5-10,17,Kiracı Oturuyor,Yatırıma Uygun,Boş,1,03 Ağustos 2023,Konut,57 M2,1+1,4.Kat,Merkezi (Pay Ölçer),Hayır,Yok,Genel Fiyat,Daire,İstanbul - Kartal - Hürriyet Mahallesi,"2,700,000",
13676802,03 Ağustos 2023,Satılık,115 M2,21 Ve Üzeri,5,Boş,Yatırıma Uygun,,1,03 Ağustos 2023,Konut,100 M2,3+1,2.Kat,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Bahçelievler - Siyavuşpaşa Mahallesi,"1,950,000",
13678211,05 Ağustos 2023,Satılık,220 M2,5-10,4,Mülk Sahibi Oturuyor,Yatırıma Uygun,Boş,1,03 Ağustos 2023,Konut,200 M2,2+1,,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Bina,İstanbul - Bağcılar - Merkez Mahallesi,"24,000,000",
13685156,06 Ağustos 2023,Satılık,105 M2,5-10,5,Kiracı Oturuyor,Yatırıma Uygun,,1,04 Ağustos 2023,Konut,95 M2,2+1,4.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Esenyurt - Yeşilkent Mahallesi,"1,429,000",
13678602,03 Ağustos 2023,Satılık,56 M2,4,30,Kiracı Oturuyor,,Boş,1,03 Ağustos 2023,Konut,40 M2,Stüdyo,10.Kat,Merkezi (Pay Ölçer),Hayır,Yok,Genel Fiyat,Residence,İstanbul - Bağcılar - Mahmutbey Mahallesi,"2,800,000",
13677185,05 Ağustos 2023,Satılık,170 M2,11-15,5,Mülk Sahibi Oturuyor,Yatırıma Uygun,,2,03 Ağustos 2023,Konut,160 M2,3+2,Bahçe Dublex,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Gaziosmanpaşa - Bağlarbaşı Mahallesi,"2,970,000",
