,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk,Yatırıma Uygunluk,Yapı Durumu
1025,12616762,08 Temmuz 2023,Satılık,168 M2,3,15,Mülk Sahibi Oturuyor,28 Ocak 2023,Konut,132 M2,3+1,10.Kat,Merkezi Doğalgaz,1.690.000TLarrow_downward%6,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,,,
1026,12610288,05 Haziran 2023,Satılık,180 M2,0 (Yeni),14,Boş,27 Ocak 2023,Konut,140 M2,4+1,8.Kat,Merkezi Doğalgaz,2.800.000TL,Kayseri - Melikgazi - 30 Ağustos Mahallesi,,,
1027,12602358,29 Temmuz 2023,Satılık,160 M2,5-10,15,Kiracı Oturuyor,26 Ocak 2023,Konut,120 M2,3+1,10-20.Kat,Merkezi (Pay Ölçer),1.599.000TL,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,,,
1028,12598200,03 Mayıs 2023,Satılık,560 M2,0 (Yeni),3,Boş,26 Ocak 2023,Konut,430 M2,4+2,3.Kat,Kombi Doğalgaz,10.500.000TL,Kayseri - Melikgazi - Erenköy Mahallesi,,,
1029,12597135,26 Mayıs 2023,Satılık,165 M2,1,10,Mülk Sahibi Oturuyor,26 Ocak 2023,Konut,135 M2,3+1,10.Kat,Merkezi Doğalgaz,1.550.000TL,Kayseri - Melikgazi - Bahçelievler Mahallesi,,,
1030,12592959,29 Mayıs 2023,Satılık,125 M2,16-20,11,Kiracı Oturuyor,25 Ocak 2023,Konut,120 M2,3+1,9.Kat,Kombi Doğalgaz,1.135.000TL,Kayseri - Kocasinan - Yavuzlar Mahallesi,,,
1031,12584334,19 Temmuz 2023,Satılık,180 M2,0 (Yeni),11,Boş,24 Ocak 2023,Konut,135 M2,3+2,3.Kat,Merkezi (Pay Ölçer),1.950.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,,
1032,12584317,27 Temmuz 2023,Satılık,170 M2,0 (Yeni),9,Boş,24 Ocak 2023,Konut,130 M2,3+1,4.Kat,Merkezi (Pay Ölçer),1.650.000TL,Kayseri - Kocasinan - Şeker Mahallesi,,,
1033,12580632,15 Haziran 2023,Satılık,180 M2,0 (Yeni),13,Boş,24 Ocak 2023,Konut,140 M2,3+1,10.Kat,Merkezi Doğalgaz,2.050.000TL,Kayseri - Kocasinan - Sancaktepe Mahallesi,Krediye Uygun Değil,,
1034,12580613,04 Temmuz 2023,Satılık,240 M2,1,23,Boş,24 Ocak 2023,Konut,185 M2,4+1,7.Kat,Merkezi Doğalgaz,7.500.000TL,Kayseri - Kocasinan - Sahabiye Mahallesi,,,
