Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,Şehir,İlçe,Mahalle
5,5,2,0,95,4,1,5,885000,0,3,115
0,12,0,0,125,7,1,6,311000,0,4,48
2,14,2,0,135,7,8,7,1330000,0,4,48
3,9,2,0,125,7,8,7,1330000,0,4,135
3,5,1,0,100,7,8,7,940000,0,4,103
4,13,1,0,149,11,1,6,2100000,0,3,36
8,8,2,0,136,7,1,5,1450000,0,4,15
6,9,1,0,70,4,1,6,1315000,0,3,137
5,5,0,0,135,7,1,5,940000,0,4,110
2,8,1,0,75,4,8,7,925000,0,4,31
8,14,1,0,164,7,2,6,1550000,0,3,20
7,10,1,0,125,7,1,7,1450000,0,4,31
0,7,0,0,140,7,1,6,1580000,0,3,92
8,10,0,0,133,7,1,7,2040000,0,4,127
5,3,1,0,60,4,1,9,750000,0,3,61
6,11,1,0,115,4,1,7,1520000,0,4,17
5,3,1,0,100,7,1,9,850000,0,3,43
5,8,1,0,80,7,1,5,900000,0,4,8
2,8,2,0,130,7,8,5,1145000,0,4,31
0,12,0,0,125,7,1,6,1400000,0,4,138
8,14,0,0,240,11,2,7,5250000,0,3,6
8,14,0,0,175,11,1,6,4150000,0,3,114
8,14,0,0,140,7,1,6,1800000,0,3,130
8,3,2,0,130,7,1,5,1800000,0,4,49
5,9,2,0,105,7,8,7,1200000,0,4,135
6,14,1,0,130,7,1,6,1365000,0,3,20
7,12,2,0,185,11,1,6,3000000,0,3,114
0,3,0,0,359,24,8,5,6500000,0,4,102
8,2,0,0,140,0,8,2,1950000,0,4,15
8,2,0,0,140,0,8,2,2150000,0,4,48
0,10,0,0,85,4,1,7,275000,0,3,2
0,10,0,0,120,7,1,7,400000,0,3,2
8,12,0,0,175,11,1,7,2590000,0,4,127
4,14,1,0,145,7,1,6,3400000,0,4,81
0,14,0,0,125,7,1,6,1650000,0,3,111
7,12,0,0,135,7,1,6,1475000,0,3,20
2,13,2,0,200,11,1,7,4250000,0,4,81
0,13,0,0,97,7,1,6,1459000,0,4,15
