Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Şehir,İlçe,Mahalle
200 M2,5-10,14,Boş,Konut,185 M2,3+1,3.Kat,Merkezi (Pay Ölçer),1850000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
175 M2,0 (Yeni),14,Boş,Konut,140 M2,3+1,13.Kat,Merkezi Doğalgaz,1630000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
165 M2,5-10,14,Kiracı Oturuyor,Konut,135 M2,3+1,12.Kat,Merkezi (Pay Ölçer),1330000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
200 M2,0 (Yeni),14,Boş,Konut,175 M2,4+1,5.Kat,Merkezi (Pay Ölçer),2850000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
125 M2,21 Ve Üzeri,3,Kiracı Oturuyor,Konut,100 M2,3+1,1.Kat,Kombi Doğalgaz,960000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,Talas,Bahçelievler Mahallesi
140 M2,11-15,8,Boş,Konut,110 M2,2+1,2.Kat,Kombi Doğalgaz,1220000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,Talas,Yenidoğan Mahallesi
175 M2,4,14,Mülk Sahibi Oturuyor,Konut,145 M2,3.5+1,10.Kat,Merkezi (Pay Ölçer),2299000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
100 M2,0 (Yeni),4,Boş,Konut,80 M2,2+1,1.Kat,Kombi Doğalgaz,1350000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
187 M2,0 (Yeni),14,Boş,Konut,155 M2,4+1,3.Kat,Merkezi (Pay Ölçer),3650000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
180 M2,11-15,11,Boş,Konut,140 M2,3+1,6.Kat,Kombi Doğalgaz,2150000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,Talas,Yenidoğan Mahallesi
150 M2,5-10,6,Mülk Sahibi Oturuyor,Konut,115 M2,3+1,2.Kat,Kombi Doğalgaz,1500000,Kayseri - Develi - İbrahimağa Mahallesi,Kayseri,Develi,İbrahimağa Mahallesi
175 M2,4,14,Mülk Sahibi Oturuyor,Konut,145 M2,3+1,14.Kat,Merkezi (Pay Ölçer),1694000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
220 M2,3,14,Mülk Sahibi Oturuyor,Konut,180 M2,4+1,8.Kat,Merkezi Doğalgaz,3400000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,Talas,Bahçelievler Mahallesi
120 M2,0 (Yeni),5,Boş,Konut,90 M2,3+0,4.Kat,Kombi Doğalgaz,1675000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,Talas,Bahçelievler Mahallesi
165 M2,5-10,8,Boş,Konut,145 M2,3+1,6.Kat,Kombi Doğalgaz,1700000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
165 M2,11-15,15,Kiracı Oturuyor,Konut,150 M2,3+1,6.Kat,Merkezi Doğalgaz,1850000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,Talas,Bahçelievler Mahallesi
125 M2,5-10,14,Mülk Sahibi Oturuyor,Konut,100 M2,2.5+1,12.Kat,Merkezi (Pay Ölçer),1400000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
120 M2,0 (Yeni),14,Boş,Konut,90 M2,2+1,10.Kat,Merkezi (Pay Ölçer),2250000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,Talas,Bahçelievler Mahallesi
120 M2,5-10,10,Kiracı Oturuyor,Konut,100 M2,2+1,5.Kat,Merkezi (Pay Ölçer),1460000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,Talas,Yenidoğan Mahallesi
165 M2,5-10,14,Kiracı Oturuyor,Konut,145 M2,3+1,6.Kat,Merkezi (Pay Ölçer),1700000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,Talas,Yenidoğan Mahallesi
230 M2,5-10,10,Boş,Konut,180 M2,4+1,10.Kat,Merkezi (Pay Ölçer),2380000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,Talas,Yenidoğan Mahallesi
135 M2,5-10,14,Mülk Sahibi Oturuyor,Konut,110 M2,3+1,7.Kat,Merkezi Fueloil,1230000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
475 M2,0 (Yeni),2,Boş,Konut,175 M2,4+1,Düz Giriş,Kombi Doğalgaz,4950000,Kayseri - Hacılar - Yediağaç Mahallesi,Kayseri,Hacılar,Yediağaç Mahallesi
170 M2,16-20,4,Boş,Konut,150 M2,3+1,1.Kat,Kombi Doğalgaz,1300000,Kayseri - Develi - Mehmet Akif Ersoy Mahallesi,Kayseri,Develi,Mehmet Akif Ersoy Mahallesi
115 M2,0 (Yeni),14,Boş,Konut,90 M2,2.5+1,3.Kat,Merkezi (Pay Ölçer),1475000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
120 M2,0 (Yeni),8,Boş,Konut,100 M2,2.5+1,3.Kat,Merkezi (Pay Ölçer),1600000,Kayseri - Talas - Kiçiköy Mahallesi,Kayseri,Talas,Kiçiköy Mahallesi
175 M2,0 (Yeni),14,Boş,Konut,140 M2,3+1,2.Kat,Merkezi (Pay Ölçer),2520000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
175 M2,11-15,12,Boş,Konut,140 M2,3+1,6.Kat,Merkezi (Pay Ölçer),2150000,Kayseri - Talas - Harman Mahallesi,Kayseri,Talas,Harman Mahallesi
220 M2,11-15,14,Boş,Konut,175 M2,3+1,11.Kat,Kombi Doğalgaz,1890000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
175 M2,11-15,15,Kiracı Oturuyor,Konut,135 M2,3+1,14.Kat,Merkezi Doğalgaz,1395000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
120 M2,0 (Yeni),14,Boş,Konut,100 M2,2.5+1,6.Kat,Merkezi Doğalgaz,1549000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
155 M2,5-10,14,Kiracı Oturuyor,Konut,115 M2,3+1,11.Kat,Merkezi (Pay Ölçer),1410000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
155 M2,5-10,14,Mülk Sahibi Oturuyor,Konut,125 M2,3+1,11.Kat,Merkezi (Pay Ölçer),1425000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
150 M2,5-10,2,Boş,Konut,135 M2,1 Oda,Düz Giriş,Isıtma Yok,1210000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
4.000 M2,1,1,Boş,Konut,3.999 M2,1+1,Müstakil.Kat,Sobalı,1485000,Kayseri - Talas - Kuruköprü Mahallesi,Kayseri,Talas,Kuruköprü Mahallesi
220 M2,11-15,14,Mülk Sahibi Oturuyor,Konut,180 M2,4+1,3.Kat,Kombi Doğalgaz,2745000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,Talas,Yenidoğan Mahallesi
160 M2,5-10,14,Mülk Sahibi Oturuyor,Konut,140 M2,3+1,11.Kat,Merkezi (Pay Ölçer),1419000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
130 M2,0 (Yeni),5,Boş,Konut,110 M2,3+1,Yüksek Giriş,Kombi Doğalgaz,1100000,Kayseri - Develi - Aşık Seyrani Mahallesi,Kayseri,Develi,Aşık Seyrani Mahallesi
120 M2,5-10,4,Boş,Konut,100 M2,2+1,Çatı Dubleks,Isıtma Yok,1200000,Kayseri - Develi - Harman Mahallesi,Kayseri,Develi,Harman Mahallesi
110 M2,1,14,Kiracı Oturuyor,Konut,85 M2,2+1,1.Kat,Merkezi (Pay Ölçer),1350000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
175 M2,4,14,Mülk Sahibi Oturuyor,Konut,140 M2,3+1,13.Kat,Merkezi (Pay Ölçer),1990000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
1.014 M2,11-15,4,Mülk Sahibi Oturuyor,Konut,480 M2,5+4,Düz Giriş,Kombi Doğalgaz,17950000,Kayseri - Talas - Yukarı Mahallesi,Kayseri,Talas,Yukarı Mahallesi
210 M2,0 (Yeni),14,Boş,Konut,180 M2,4+1,9.Kat,Merkezi (Pay Ölçer),3500000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
175 M2,0 (Yeni),14,Boş,Konut,140 M2,3+1,2.Kat,Merkezi (Pay Ölçer),1825000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
155 M2,11-15,14,Mülk Sahibi Oturuyor,Konut,125 M2,3+1,11.Kat,Merkezi (Pay Ölçer),1420000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
155 M2,5-10,14,Boş,Konut,135 M2,3+1,1.Kat,Merkezi (Pay Ölçer),1600000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
110 M2,0 (Yeni),14,Boş,Konut,90 M2,2.5+1,1.Kat,Merkezi (Pay Ölçer),1500000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
175 M2,11-15,10,Kiracı Oturuyor,Konut,140 M2,3+1,7.Kat,Kombi Doğalgaz,1640000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,Talas,Yenidoğan Mahallesi
185 M2,0 (Yeni),10,Boş,Konut,140 M2,3+1,2.Kat,Merkezi Doğalgaz,3400000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
