Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Şehir,İlçe,Mahalle
165 M2,2,10,Boş,Konut,135 M2,3+1,5.Kat,Merkezi (Pay Ölçer),1580000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,Melikgazi,İldem Cumhuriyet Mahallesi
125 M2,0 (Yeni),3,Boş,Konut,100 M2,2.5+1,1.Kat,Kombi Doğalgaz,1250000,Kayseri - Kocasinan - General Emir Mahallesi,Kayseri,Kocasinan,General Emir Mahallesi
650 M2,0 (Yeni),3,Boş,Konut,300 M2,5+2,Bahçe Dublex,Kombi Doğalgaz,22000000,Kayseri - Melikgazi - Erenköy Mahallesi,Kayseri,Melikgazi,Erenköy Mahallesi
195 M2,0 (Yeni),2,Boş,Konut,165 M2,5+1,Villa Tipi,Kombi Doğalgaz,9050000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,Melikgazi,Becen Mahallesi
195 M2,0 (Yeni),2,Boş,Konut,165 M2,5+1,Villa Tipi,Kombi Doğalgaz,9050000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,Melikgazi,Becen Mahallesi
195 M2,0 (Yeni),2,Boş,Konut,165 M2,5+1,Villa Tipi,Kombi Doğalgaz,9050000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,Melikgazi,Becen Mahallesi
195 M2,0 (Yeni),2,Boş,Konut,165 M2,5+1,Villa Tipi,Kombi Doğalgaz,9100000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,Melikgazi,Becen Mahallesi
310 M2,2,14,Mülk Sahibi Oturuyor,Konut,240 M2,5+1,12.Kat,Merkezi Doğalgaz,8700000,Kayseri - Melikgazi - Alpaslan Mahallesi,Kayseri,Melikgazi,Alpaslan Mahallesi
600 M2,0 (Yeni),2,Boş,Konut,210 M2,4.5+1,Bahçe Dublex,Kombi Doğalgaz,6750000,Kayseri - Melikgazi - Gesi Mahallesi,Kayseri,Melikgazi,Gesi Mahallesi
90 M2,0 (Yeni),5,Boş,Konut,85 M2,2+1,5.Kat,Kombi Doğalgaz,950000,Kayseri - Melikgazi - Mimarsinan Mahallesi,Kayseri,Melikgazi,Mimarsinan Mahallesi
160 M2,11-15,14,Mülk Sahibi Oturuyor,Konut,130 M2,3+1,5.Kat,Merkezi Doğalgaz,1875000,Kayseri - Melikgazi - Tacettin Veli Mahallesi,Kayseri,Melikgazi,Tacettin Veli Mahallesi
185 M2,5-10,2,Boş,Konut,145 M2,1 Oda,Düz Giriş,Isıtma Yok,1950000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,Melikgazi,Bahçelievler Mahallesi
175 M2,0 (Yeni),10,Boş,Konut,135 M2,3+1,9.Kat,Merkezi Doğalgaz,2300000,Kayseri - Kocasinan - Sancaktepe Mahallesi,Kayseri,Kocasinan,Sancaktepe Mahallesi
230 M2,21 Ve Üzeri,11,Mülk Sahibi Oturuyor,Konut,180 M2,4+1,6.Kat,Merkezi Doğalgaz,2350000,Kayseri - Kocasinan - Sümer Mahallesi,Kayseri,Kocasinan,Sümer Mahallesi
160 M2,0 (Yeni),12,Boş,Konut,105 M2,3+1,8.Kat,Merkezi Doğalgaz,2100000,Kayseri - Kocasinan - Sahabiye Mahallesi,Kayseri,Kocasinan,Sahabiye Mahallesi
180 M2,0 (Yeni),14,Boş,Konut,140 M2,4+1,6.Kat,Merkezi (Pay Ölçer),1875000,Kayseri - Kocasinan - Yunusemre Mahallesi,Kayseri,Kocasinan,Yunusemre Mahallesi
175 M2,0 (Yeni),11,Boş,Konut,155 M2,3+1,2.Kat,Merkezi (Pay Ölçer),1950000,Kayseri - Melikgazi - Tınaztepe Mahallesi,Kayseri,Melikgazi,Tınaztepe Mahallesi
130 M2,0 (Yeni),12,Boş,Konut,100 M2,3+0,4.Kat,Merkezi (Pay Ölçer),1680000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,Kocasinan,Beyazşehir Mahallesi
180 M2,0 (Yeni),15,Boş,Konut,140 M2,3+1,4.Kat,Merkezi (Pay Ölçer),1850000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,Melikgazi,Yeşilyurt Mahallesi
175 M2,5-10,12,Kiracı Oturuyor,Konut,155 M2,3+1,6.Kat,Merkezi Doğalgaz,2525000,Kayseri - Melikgazi - Köşk Mahallesi,Kayseri,Melikgazi,Köşk Mahallesi
135 M2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,Konut,120 M2,3+1,1.Kat,Kombi Doğalgaz,890000,Kayseri - Kocasinan - Mimarsinan Mahallesi,Kayseri,Kocasinan,Mimarsinan Mahallesi
100 M2,21 Ve Üzeri,3,Kiracı Oturuyor,Konut,90 M2,2+1,Tam Bodrum.Kat,Kombi Doğalgaz,515000,Kayseri - Kocasinan - Fevzi Çakmak Mahallesi,Kayseri,Kocasinan,Fevzi Çakmak Mahallesi
170 M2,0 (Yeni),13,Boş,Konut,130 M2,3+1,5.Kat,Merkezi Doğalgaz,1650000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,Melikgazi,İldem Cumhuriyet Mahallesi
165 M2,11-15,10,Boş,Konut,135 M2,3+1,5.Kat,Kombi Doğalgaz,1590000,Kayseri - Melikgazi - Esenyurt Mahallesi,Kayseri,Melikgazi,Esenyurt Mahallesi
175 M2,5-10,11,Boş,Konut,150 M2,3+1,7.Kat,Kombi Doğalgaz,1645000,Kayseri - Melikgazi - Tacettin Veli Mahallesi,Kayseri,Melikgazi,Tacettin Veli Mahallesi
350 M2,16-20,1,Mülk Sahibi Oturuyor,Konut,150 M2,3+1,Düz Giriş,Sobalı,2150000,Kayseri - Kocasinan - Kayabaşı Mahallesi,Kayseri,Kocasinan,Kayabaşı Mahallesi
145 M2,4,12,Kiracı Oturuyor,Konut,120 M2,3+1,3.Kat,Merkezi Doğalgaz,965000,Kayseri - Kocasinan - Yavuzlar Mahallesi,Kayseri,Kocasinan,Yavuzlar Mahallesi
125 M2,0 (Yeni),9,Boş,Konut,105 M2,2.5+1,4.Kat,Merkezi (Pay Ölçer),1350000,Kayseri - Melikgazi - Battalgazi Mahallesi,Kayseri,Melikgazi,Battalgazi Mahallesi
175 M2,5-10,14,Kiracı Oturuyor,Konut,155 M2,3+1,7.Kat,Merkezi (Pay Ölçer),1920000,Kayseri - Kocasinan - Yenidoğan Mahallesi,Kayseri,Kocasinan,Yenidoğan Mahallesi
140 M2,3,7,Kiracı Oturuyor,Konut,115 M2,3+1,2.Kat,Kombi Doğalgaz,1750000,Kayseri - Melikgazi - Gülük Mahallesi,Kayseri,Melikgazi,Gülük Mahallesi
165 M2,0 (Yeni),7,Boş,Konut,130 M2,3+1,3.Kat,Kombi Doğalgaz,1950000,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Kayseri,Kocasinan,Mithatpaşa Mahallesi
99 M2,5-10,6,Mülk Sahibi Oturuyor,Konut,85 M2,2+1,2.Kat,Merkezi Doğalgaz,1050000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,Melikgazi,Demokrasi Mahallesi
175 M2,5-10,14,Kiracı Oturuyor,Konut,155 M2,3+1,6.Kat,Merkezi Doğalgaz,1850000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,Melikgazi,Gesi Fatih Mahallesi
220 M2,5-10,14,Boş,Konut,175 M2,4+1,4.Kat,Merkezi (Pay Ölçer),3500000,Kayseri - Melikgazi - Altınoluk Mahallesi,Kayseri,Melikgazi,Altınoluk Mahallesi
280 M2,0 (Yeni),14,Boş,Konut,260 M2,4+1,14.Kat,Merkezi (Pay Ölçer),8500000,Kayseri - Melikgazi - Gültepe Mahallesi,Kayseri,Melikgazi,Gültepe Mahallesi
165 M2,0 (Yeni),5,Boş,Konut,130 M2,3+1,4.Kat,Kombi Doğalgaz,1650000,Kayseri - Kocasinan - General Emir Mahallesi,Kayseri,Kocasinan,General Emir Mahallesi
185 M2,5-10,2,Boş,Konut,140 M2,1 Oda,Düz Giriş,Isıtma Yok,1995000,Kayseri - Kocasinan - Uğurevler Mahallesi,Kayseri,Kocasinan,Uğurevler Mahallesi
165 M2,21 Ve Üzeri,9,Kiracı Oturuyor,Konut,140 M2,3+1,6.Kat,Merkezi Doğalgaz,1595000,Kayseri - Kocasinan - Erciyesevler Mahallesi,Kayseri,Kocasinan,Erciyesevler Mahallesi
175 M2,5-10,2,Boş,Konut,150 M2,1 Oda,Düz Giriş,Isıtma Yok,2150000,Kayseri - Melikgazi - Osmanlı Mahallesi,Kayseri,Melikgazi,Osmanlı Mahallesi
225 M2,0 (Yeni),13,Boş,Konut,145 M2,4+1,1.Kat,Merkezi (Pay Ölçer),3250000,Kayseri - Kocasinan - Yakut Mahallesi,Kayseri,Kocasinan,Yakut Mahallesi
180 M2,0 (Yeni),14,Boş,Konut,125 M2,3+1,2.Kat,Merkezi (Pay Ölçer),3750000,Kayseri - Melikgazi - Köşk Mahallesi,Kayseri,Melikgazi,Köşk Mahallesi
225 M2,0 (Yeni),13,Boş,Konut,145 M2,4+1,1.Kat,Merkezi (Pay Ölçer),3300000,Kayseri - Kocasinan - Yakut Mahallesi,Kayseri,Kocasinan,Yakut Mahallesi
222 M2,0 (Yeni),14,Boş,Konut,160 M2,4+1,1.Kat,Merkezi (Pay Ölçer),4950000,Kayseri - Melikgazi - Köşk Mahallesi,Kayseri,Melikgazi,Köşk Mahallesi
195 M2,0 (Yeni),12,Boş,Konut,135 M2,4+1,10.Kat,Merkezi (Pay Ölçer),3950000,Kayseri - Kocasinan - Alsancak Mahallesi,Kayseri,Kocasinan,Alsancak Mahallesi
800 M2,0 (Yeni),2,Boş,Konut,300 M2,6+1,Düz Giriş,Yerden Isıtma,25500000,Kayseri - Melikgazi - Erenköy Mahallesi,Kayseri,Melikgazi,Erenköy Mahallesi
185 M2,0 (Yeni),14,Boş,Konut,125 M2,3+1,1.Kat,Merkezi (Pay Ölçer),3350000,Kayseri - Melikgazi - Köşk Mahallesi,Kayseri,Melikgazi,Köşk Mahallesi
140 M2,21 Ve Üzeri,7,Kiracı Oturuyor,Konut,110 M2,2+1,7.Kat,Merkezi Doğalgaz,850000,Kayseri - Kocasinan - Sahabiye Mahallesi,Kayseri,Kocasinan,Sahabiye Mahallesi
130 M2,11-15,5,Mülk Sahibi Oturuyor,Konut,119 M2,3+1,3.Kat,Kombi Doğalgaz,930000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,Melikgazi,Bahçelievler Mahallesi
165 M2,5-10,14,Mülk Sahibi Oturuyor,Konut,135 M2,3+1,1.Kat,Kombi Doğalgaz,1780000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,Melikgazi,Demokrasi Mahallesi
185 M2,5-10,12,Kiracı Oturuyor,Konut,162 M2,3+1,10.Kat,Merkezi Doğalgaz,1975000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,Melikgazi,Yeşilyurt Mahallesi
165 M2,11-15,10,Mülk Sahibi Oturuyor,Konut,140 M2,3+1,4.Kat,Merkezi Doğalgaz,1250000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,Kocasinan,Beyazşehir Mahallesi
185 M2,5-10,12,Boş,Konut,140 M2,3+1,2.Kat,Merkezi (Pay Ölçer),2275000,Kayseri - Melikgazi - Sakarya Mahallesi,Kayseri,Melikgazi,Sakarya Mahallesi
145 M2,16-20,4,Mülk Sahibi Oturuyor,Konut,130 M2,3+1,4.Kat,Kombi Doğalgaz,1350000,Kayseri - Kocasinan - Yenidoğan Mahallesi,Kayseri,Kocasinan,Yenidoğan Mahallesi
246 M2,16-20,12,Mülk Sahibi Oturuyor,Konut,220 M2,4+1,4.Kat,Merkezi Doğalgaz,2489000,Kayseri - Kocasinan - Erciyesevler Mahallesi,Kayseri,Kocasinan,Erciyesevler Mahallesi
400 M2,0 (Yeni),3,Boş,Konut,350 M2,8+1,Düz Giriş,Kombi Doğalgaz,4850000,Kayseri - Kocasinan - Buğdaylı Mahallesi,Kayseri,Kocasinan,Buğdaylı Mahallesi
220 M2,0 (Yeni),2,Boş,Konut,200 M2,4+1,Düz Giriş,Yerden Isıtma,14550000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,Melikgazi,Becen Mahallesi
215 M2,0 (Yeni),14,Boş,Konut,155 M2,4+1,1.Kat,Merkezi (Pay Ölçer),2600000,Kayseri - Kocasinan - Alsancak Mahallesi,Kayseri,Kocasinan,Alsancak Mahallesi
175 M2,0 (Yeni),14,Boş,Konut,140 M2,3+1,2.Kat,Merkezi (Pay Ölçer),2240000,Kayseri - Kocasinan - Seyrani Mahallesi,Kayseri,Kocasinan,Seyrani Mahallesi
150 M2,16-20,3,Kiracı Oturuyor,Konut,120 M2,3+1,1.Kat,Kombi Doğalgaz,1100000,Kayseri - Kocasinan - Fevzi Çakmak Mahallesi,Kayseri,Kocasinan,Fevzi Çakmak Mahallesi
195 M2,0 (Yeni),2,Boş,Konut,165 M2,5+1,Villa Tipi,Kombi Doğalgaz,9050000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,Melikgazi,Becen Mahallesi
195 M2,0 (Yeni),2,Boş,Konut,165 M2,5+1,Villa Tipi,Kombi Doğalgaz,9000000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,Melikgazi,Becen Mahallesi
140 M2,21 Ve Üzeri,3,Kiracı Oturuyor,Konut,130 M2,3+1,3.Kat,Kombi Doğalgaz,1250000,Kayseri - Melikgazi - Keykubat Mahallesi,Kayseri,Melikgazi,Keykubat Mahallesi
210 M2,21 Ve Üzeri,8,Kiracı Oturuyor,Konut,190 M2,3+1,1.Kat,Merkezi Doğalgaz,1749000,Kayseri - Kocasinan - Sahabiye Mahallesi,Kayseri,Kocasinan,Sahabiye Mahallesi
425 M2,0 (Yeni),2,Boş,Konut,220 M2,4+1,Düz Giriş,Kombi Doğalgaz,5950000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,Melikgazi,Gesi Fatih Mahallesi
130 M2,16-20,7,Kiracı Oturuyor,Konut,110 M2,3+1,5.Kat,Kombi Doğalgaz,1365000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,Kocasinan,Beyazşehir Mahallesi
200 M2,0 (Yeni),8,Boş,Konut,140 M2,4+1,4.Kat,Merkezi Doğalgaz,3300000,Kayseri - Kocasinan - Sancaktepe Mahallesi,Kayseri,Kocasinan,Sancaktepe Mahallesi
128 M2,21 Ve Üzeri,9,Mülk Sahibi Oturuyor,Konut,105 M2,3+1,Yüksek Giriş,Merkezi Doğalgaz,1200000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,Melikgazi,İldem Cumhuriyet Mahallesi
225 M2,16-20,1,Kiracı Oturuyor,Konut,200 M2,5+0,Düz Giriş,Sobalı,3400000,Kayseri - Kocasinan - Kızık Mahallesi,Kayseri,Kocasinan,Kızık Mahallesi
165 M2,5-10,10,Kiracı Oturuyor,Konut,130 M2,3+1,1.Kat,Merkezi Doğalgaz,1185000,Kayseri - Melikgazi - Germir Mahallesi,Kayseri,Melikgazi,Germir Mahallesi
320 M2,5-10,12,Boş,Konut,319 M2,5+3,12.Kat,Merkezi (Pay Ölçer),4700000,Kayseri - Melikgazi - Alpaslan Mahallesi,Kayseri,Melikgazi,Alpaslan Mahallesi
175 M2,11-15,14,Kiracı Oturuyor,Konut,135 M2,3+1,2.Kat,Kombi Doğalgaz,1400000,Kayseri - Melikgazi - 30 Ağustos Mahallesi,Kayseri,Melikgazi,30 Ağustos Mahallesi
175 M2,11-15,14,Kiracı Oturuyor,Konut,130 M2,3+1,2.Kat,Kombi Doğalgaz,1400000,Kayseri - Melikgazi - 30 Ağustos Mahallesi,Kayseri,Melikgazi,30 Ağustos Mahallesi
160 M2,11-15,8,Mülk Sahibi Oturuyor,Konut,125 M2,3+1,4.Kat,Merkezi Doğalgaz,1455000,Kayseri - Melikgazi - Kocatepe Mahallesi,Kayseri,Melikgazi,Kocatepe Mahallesi
150 M2,21 Ve Üzeri,3,Kiracı Oturuyor,Konut,125 M2,3+1,3.Kat,Sobalı,1315000,Kayseri - Kocasinan - Sahabiye Mahallesi,Kayseri,Kocasinan,Sahabiye Mahallesi
110 M2,5-10,10,Mülk Sahibi Oturuyor,Konut,100 M2,2+1,1.Kat,Merkezi (Pay Ölçer),1120000,Kayseri - Melikgazi - Esenyurt Mahallesi,Kayseri,Melikgazi,Esenyurt Mahallesi
220 M2,5-10,14,Mülk Sahibi Oturuyor,Konut,170 M2,4+1,13.Kat,Merkezi (Pay Ölçer),4150000,Kayseri - Melikgazi - Gültepe Mahallesi,Kayseri,Melikgazi,Gültepe Mahallesi
239 M2,0 (Yeni),2,Boş,Konut,200 M2,4+1,Düz Giriş,Kombi Doğalgaz,7000000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,Melikgazi,Gesi Fatih Mahallesi
184 M2,0 (Yeni),14,Boş,Konut,135 M2,3.5+1,2.Kat,Merkezi (Pay Ölçer),2050000,Kayseri - Kocasinan - Zümrüt Mahallesi,Kayseri,Kocasinan,Zümrüt Mahallesi
165 M2,0 (Yeni),7,Kiracı Oturuyor,Konut,145 M2,3+1,4.Kat,Merkezi (Pay Ölçer),1500000,Kayseri - Kocasinan - Osmangazi Mahallesi,Kayseri,Kocasinan,Osmangazi Mahallesi
185 M2,0 (Yeni),8,Boş,Konut,155 M2,4+1,4.Kat,Merkezi (Pay Ölçer),1920000,Kayseri - Melikgazi - Şirintepe Mahallesi,Kayseri,Melikgazi,Şirintepe Mahallesi
175 M2,0 (Yeni),14,Boş,Konut,155 M2,3+1,1.Kat,Merkezi Doğalgaz,1750000,Kayseri - Melikgazi - Esentepe Mahallesi,Kayseri,Melikgazi,Esentepe Mahallesi
165 M2,0 (Yeni),4,Boş,Konut,120 M2,3+1,3.Kat,Merkezi (Pay Ölçer),1575000,Kayseri - Kocasinan - Şeker Mahallesi,Kayseri,Kocasinan,Şeker Mahallesi
550 M2,5-10,4,Boş,Konut,500 M2,6+1,Düz Giriş,Yerden Isıtma,18250000,Kayseri - Melikgazi - Erenköy Mahallesi,Kayseri,Melikgazi,Erenköy Mahallesi
190 M2,5-10,15,Boş,Konut,165 M2,3+1,5.Kat,Merkezi Doğalgaz,1850000,Kayseri - Melikgazi - Tacettin Veli Mahallesi,Kayseri,Melikgazi,Tacettin Veli Mahallesi
185 M2,5-10,15,Mülk Sahibi Oturuyor,Konut,155 M2,3+1,1.Kat,Kombi Doğalgaz,1472000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,Melikgazi,İldem Cumhuriyet Mahallesi
160 M2,0 (Yeni),10,Boş,Konut,115 M2,2+1,5.Kat,Kombi Doğalgaz,300000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,Kocasinan,Ahi Evran Mahallesi
180 M2,5-10,13,Boş,Konut,160 M2,3+1,4.Kat,Merkezi (Pay Ölçer),1640000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,Melikgazi,İldem Cumhuriyet Mahallesi
250 M2,21 Ve Üzeri,1,Mülk Sahibi Oturuyor,Konut,200 M2,3+1,Düz Giriş,Isıtma Yok,19500000,Kayseri - Melikgazi - Hisarcık Mahallesi,Kayseri,Melikgazi,Hisarcık Mahallesi
250 M2,21 Ve Üzeri,1,Mülk Sahibi Oturuyor,Konut,200 M2,3+1,Düz Giriş,Isıtma Yok,28500000,Kayseri - Melikgazi - Hisarcık Mahallesi,Kayseri,Melikgazi,Hisarcık Mahallesi
165 M2,4,4,Kiracı Oturuyor,Konut,124 M2,3+1,1.Kat,Merkezi (Pay Ölçer),1410000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,Melikgazi,Bahçelievler Mahallesi
5.000 M2,21 Ve Üzeri,3,Boş,Konut,290 M2,6+1,Müstakil.Kat,Sobalı,5100000,Kayseri - Kocasinan - Saraycık Mahallesi,Kayseri,Kocasinan,Saraycık Mahallesi
165 M2,2,12,Kiracı Oturuyor,Konut,135 M2,3+1,6.Kat,Merkezi (Pay Ölçer),1570000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,Melikgazi,Bahçelievler Mahallesi
210 M2,5-10,8,Kiracı Oturuyor,Konut,190 M2,4+1,8.Kat,Yerden Isıtma,2325000,Kayseri - Kocasinan - Yakut Mahallesi,Kayseri,Kocasinan,Yakut Mahallesi
185 M2,2,14,Kiracı Oturuyor,Konut,145 M2,3.5+1,1.Kat,Merkezi (Pay Ölçer),1510000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,Melikgazi,Gesi Fatih Mahallesi
175 M2,0 (Yeni),6,Boş,Konut,135 M2,3+1,3.Kat,Kombi Doğalgaz,1850000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,Melikgazi,Demokrasi Mahallesi
130 M2,16-20,4,Kiracı Oturuyor,Konut,100 M2,3+1,2.Kat,Kombi Doğalgaz,995000,Kayseri - Melikgazi - Tınaztepe Mahallesi,Kayseri,Melikgazi,Tınaztepe Mahallesi
200 M2,0 (Yeni),13,Boş,Konut,160 M2,4+1,8.Kat,Merkezi (Pay Ölçer),2450000,Kayseri - Kocasinan - Seyrani Mahallesi,Kayseri,Kocasinan,Seyrani Mahallesi
200 M2,0 (Yeni),2,Boş,Konut,150 M2,4+1,Düz Giriş,Kombi Doğalgaz,6100000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,Melikgazi,Gesi Fatih Mahallesi
160 M2,0 (Yeni),13,Boş,Konut,130 M2,3+1,1.Kat,Merkezi (Pay Ölçer),1700000,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,Kayseri,Kocasinan,Ertuğrul Gazi Mahallesi
500 M2,16-20,1,Kiracı Oturuyor,Konut,428 M2,3+1,Düz Giriş,Sobalı,1700000,Kayseri - Kocasinan - Uğurevler Mahallesi,Kayseri,Kocasinan,Uğurevler Mahallesi
250 M2,2,2,Mülk Sahibi Oturuyor,Konut,200 M2,5+1,Düz Giriş,Kombi Doğalgaz,6799000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,Melikgazi,Gesi Fatih Mahallesi
500 M2,5-10,2,Mülk Sahibi Oturuyor,Konut,190 M2,3+2,Düz Giriş,Kombi Doğalgaz,7750000,Kayseri - Melikgazi - Eğribucak Mahallesi,Kayseri,Melikgazi,Eğribucak Mahallesi
165 M2,0 (Yeni),14,Boş,Konut,130 M2,4+1,5.Kat,Merkezi (Pay Ölçer),600000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,Melikgazi,Yeşilyurt Mahallesi
225 M2,0 (Yeni),14,Boş,Konut,175 M2,4.5+1,2.Kat,Merkezi (Pay Ölçer),4250000,Kayseri - Kocasinan - Yakut Mahallesi,Kayseri,Kocasinan,Yakut Mahallesi
230 M2,0 (Yeni),1,Boş,Konut,180 M2,4+1,Düz Giriş,Kombi Doğalgaz,5800000,Kayseri - Melikgazi - Gesi Mahallesi,Kayseri,Melikgazi,Gesi Mahallesi
100 M2,21 Ve Üzeri,3,Boş,Konut,80 M2,3+1,Tam Bodrum.Kat,Sobalı,580000,Kayseri - Kocasinan - Mimarsinan Mahallesi,Kayseri,Kocasinan,Mimarsinan Mahallesi
175 M2,0 (Yeni),6,Boş,Konut,125 M2,3+1,1.Kat,Kombi Doğalgaz,1499000,Kayseri - Kocasinan - General Emir Mahallesi,Kayseri,Kocasinan,General Emir Mahallesi
130 M2,11-15,9,Mülk Sahibi Oturuyor,Konut,110 M2,3+1,5.Kat,Merkezi (Pay Ölçer),1275000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,Melikgazi,Gesi Fatih Mahallesi
140 M2,0 (Yeni),12,Boş,Konut,125 M2,3+1,1.Kat,Merkezi (Pay Ölçer),1800000,Kayseri - Kocasinan - Seyrani Mahallesi,Kayseri,Kocasinan,Seyrani Mahallesi
135 M2,21 Ve Üzeri,4,Kiracı Oturuyor,Konut,100 M2,3+1,2.Kat,Kombi Doğalgaz,1750000,Kayseri - Melikgazi - Esenyurt Mahallesi,Kayseri,Melikgazi,Esenyurt Mahallesi
165 M2,21 Ve Üzeri,8,Kiracı Oturuyor,Konut,145 M2,3+1,5.Kat,Merkezi Doğalgaz,1850000,Kayseri - Kocasinan - Erciyesevler Mahallesi,Kayseri,Kocasinan,Erciyesevler Mahallesi
175 M2,0 (Yeni),14,Boş,Konut,140 M2,3+1,6.Kat,Merkezi (Pay Ölçer),1700000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,Melikgazi,Gesi Fatih Mahallesi
175 M2,5-10,11,Kiracı Oturuyor,Konut,135 M2,3+1,1.Kat,Merkezi (Pay Ölçer),1695000,Kayseri - Kocasinan - Uğurevler Mahallesi,Kayseri,Kocasinan,Uğurevler Mahallesi
280 M2,16-20,14,Boş,Konut,220 M2,4+1,6.Kat,Kombi Doğalgaz,3350000,Kayseri - Melikgazi - Gültepe Mahallesi,Kayseri,Melikgazi,Gültepe Mahallesi
155 M2,0 (Yeni),10,Boş,Konut,130 M2,2.5+1,6.Kat,Merkezi Doğalgaz,1065000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,Melikgazi,Yeşilyurt Mahallesi
145 M2,16-20,5,Mülk Sahibi Oturuyor,Konut,110 M2,2+1,5.Kat,Sobalı,660000,Kayseri - Kocasinan - Sanayi Mahallesi,Kayseri,Kocasinan,Sanayi Mahallesi
100 M2,2,16,Boş,Konut,90 M2,2+1,4.Kat,Merkezi (Pay Ölçer),1395000,Kayseri - Kocasinan - Sahabiye Mahallesi,Kayseri,Kocasinan,Sahabiye Mahallesi
150 M2,5-10,12,Mülk Sahibi Oturuyor,Konut,110 M2,3+1,12.Kat,Merkezi Doğalgaz,1950000,Kayseri - Melikgazi - Altınoluk Mahallesi,Kayseri,Melikgazi,Altınoluk Mahallesi
175 M2,4,14,Boş,Konut,130 M2,3+1,11.Kat,Merkezi (Pay Ölçer),1640000,Kayseri - Kocasinan - Yavuzlar Mahallesi,Kayseri,Kocasinan,Yavuzlar Mahallesi
120 M2,0 (Yeni),2,Boş,Konut,100 M2,3+1,Düz Giriş,Sobalı,2400000,Kayseri - Kocasinan - Buğdaylı Mahallesi,Kayseri,Kocasinan,Buğdaylı Mahallesi
185 M2,0 (Yeni),2,Boş,Konut,130 M2,4+1,Düz Giriş,Kombi Doğalgaz,8600000,Kayseri - Melikgazi - Erenköy Mahallesi,Kayseri,Melikgazi,Erenköy Mahallesi
160 M2,0 (Yeni),6,Boş,Konut,130 M2,3+1,Yüksek Giriş,Kombi Doğalgaz,1100000,Kayseri - Melikgazi - Fatih Mahallesi,Kayseri,Melikgazi,Fatih Mahallesi
170 M2,21 Ve Üzeri,12,Boş,Konut,135 M2,3+1,4.Kat,Yerden Isıtma,1500000,Kayseri - Melikgazi - 30 Ağustos Mahallesi,Kayseri,Melikgazi,30 Ağustos Mahallesi
130 M2,16-20,8,Mülk Sahibi Oturuyor,Konut,110 M2,3+1,6.Kat,Kombi Doğalgaz,1150000,Kayseri - Melikgazi - Battalgazi Mahallesi,Kayseri,Melikgazi,Battalgazi Mahallesi
100 M2,0 (Yeni),10,Boş,Konut,85 M2,2+1,9.Kat,Merkezi Doğalgaz,300000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,Kocasinan,Ahi Evran Mahallesi
