Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Şehir,İlçe,Mahalle
0 (Yeni),3,0,Konut,300,7+1,Düz Giriş,Kombi Doğalgaz,14750000,Kayseri - Melikgazi - Erenköy Mahallesi,Kayseri,4,Erenköy Mahallesi
16-20,2,0,Konut,90,9+ Oda,Düz Giriş,Sobalı,4250000,Kayseri - Melikgazi - Hisarcık Mahallesi,Kayseri,4,Hisarcık Mahallesi
21 Ve Üzeri,2,2,Konut,130,3+1,2.Kat,Kombi Doğalgaz,1400000,Kayseri - Kocasinan - Yeni Mahallesi,Kayseri,3,Yeni Mahallesi
0 (Yeni),14,0,Konut,200,4+1,4.Kat,Merkezi (Pay Ölçer),4000000,Kayseri - Kocasinan - Saray Bosna Mahallesi,Kayseri,3,Saray Bosna Mahallesi
0 (Yeni),9,0,Konut,90,2+1,1.Kat,Merkezi (Pay Ölçer),1850000,Kayseri - Kocasinan - Mimarsinan Mahallesi,Kayseri,3,Mimarsinan Mahallesi
5-10,12,2,Konut,140,3+1,2.Kat,Kombi Doğalgaz,1365000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
5-10,2,2,Konut,400,7+1,Düz Giriş,Kombi Doğalgaz,22000000,Kayseri - Melikgazi - Erenköy Mahallesi,Kayseri,4,Erenköy Mahallesi
21 Ve Üzeri,12,1,Konut,180,3+1,11.Kat,Merkezi Doğalgaz,1415000,Kayseri - Kocasinan - Sahabiye Mahallesi,Kayseri,3,Sahabiye Mahallesi
21 Ve Üzeri,3,1,Konut,100,3+1,3.Kat,Kombi Doğalgaz,950000,Kayseri - Kocasinan - Fevzi Çakmak Mahallesi,Kayseri,3,Fevzi Çakmak Mahallesi
0 (Yeni),10,0,Konut,135,3+1,5.Kat,Merkezi (Pay Ölçer),1650000,Kayseri - Melikgazi - Mimarsinan Mahallesi,Kayseri,4,Mimarsinan Mahallesi
5-10,13,2,Konut,125,3+1,11.Kat,Merkezi (Pay Ölçer),1330000,Kayseri - Melikgazi - Şirintepe Mahallesi,Kayseri,4,Şirintepe Mahallesi
5-10,6,1,Konut,120,3+1,4.Kat,Merkezi (Pay Ölçer),1430000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
1,7,1,Konut,130,3+1,6.Kat,Merkezi (Pay Ölçer),1640000,Kayseri - Kocasinan - Uğurevler Mahallesi,Kayseri,3,Uğurevler Mahallesi
1,4,2,Konut,110,3+1,4.Kat,Merkezi (Pay Ölçer),1250000,Kayseri - Kocasinan - Oruçreis Mahallesi,Kayseri,3,Oruçreis Mahallesi
21 Ve Üzeri,2,0,Konut,100,3+1,Bahçe Katı,Kombi Doğalgaz,800000,Kayseri - Melikgazi - Battalgazi Mahallesi,Kayseri,4,Battalgazi Mahallesi
21 Ve Üzeri,4,1,Konut,120,3+1,3.Kat,Kombi Doğalgaz,910000,Kayseri - Melikgazi - Hürriyet Mahallesi,Kayseri,4,Hürriyet Mahallesi
16-20,9,2,Konut,100,3+1,3.Kat,Kombi Doğalgaz,975000,Kayseri - Melikgazi - 30 Ağustos Mahallesi,Kayseri,4,30 Ağustos Mahallesi
0 (Yeni),12,0,Konut,110,3+1,10.Kat,Merkezi Doğalgaz,1430000,Kayseri - Melikgazi - Esenyurt Mahallesi,Kayseri,4,Esenyurt Mahallesi
21 Ve Üzeri,3,2,Konut,130,3+1,1.Kat,Kombi Doğalgaz,850000,Kayseri - Kocasinan - Mimarsinan Mahallesi,Kayseri,3,Mimarsinan Mahallesi
5-10,14,0,Konut,185,4+1,14.Kat,Merkezi (Pay Ölçer),3950000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,4,Yıldırım Beyazıt Mahallesi
0 (Yeni),2,0,Konut,175,4+1,Düz Giriş,Kombi Doğalgaz,6000000,Kayseri - Melikgazi - Eğribucak Mahallesi,Kayseri,4,Eğribucak Mahallesi
2,14,2,Konut,149,4+1,1.Kat,Merkezi (Pay Ölçer),2620000,Kayseri - Kocasinan - Alsancak Mahallesi,Kayseri,3,Alsancak Mahallesi
0 (Yeni),12,0,Konut,135,3+1,9.Kat,Merkezi (Pay Ölçer),210000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
16-20,8,2,Konut,80,3+1,4.Kat,Kombi Doğalgaz,1070000,Kayseri - Melikgazi - Anafartalar Mahallesi,Kayseri,4,Anafartalar Mahallesi
16-20,8,1,Konut,180,3+1,2.Kat,Merkezi Doğalgaz,1625000,Kayseri - Kocasinan - Seyrani Mahallesi,Kayseri,3,Seyrani Mahallesi
0 (Yeni),8,0,Konut,120,3+1,7.Kat,Merkezi (Pay Ölçer),1650000,Kayseri - Kocasinan - Yavuzlar Mahallesi,Kayseri,3,Yavuzlar Mahallesi
4,1,0,Konut,736,2+1,Müstakil.Kat,Sobalı,1690000,Kayseri - Kocasinan - Kemer Mahallesi,Kayseri,3,Kemer Mahallesi
1,8,0,Konut,140,4+1,6.Kat,Merkezi (Pay Ölçer),2750000,Kayseri - Kocasinan - Sancaktepe Mahallesi,Kayseri,3,Sancaktepe Mahallesi
5-10,5,1,Konut,65,2+1,1.Kat,Merkezi (Pay Ölçer),800000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
1,7,1,Konut,120,3+1,7.Kat,Kombi Doğalgaz,1700000,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Kayseri,3,Mithatpaşa Mahallesi
1,10,0,Konut,85,2+1,2.Kat,Kombi Doğalgaz,1250000,Kayseri - Kocasinan - Şeker Mahallesi,Kayseri,3,Şeker Mahallesi
0 (Yeni),15,0,Konut,125,3+1,4.Kat,Merkezi (Pay Ölçer),1625000,Kayseri - Kocasinan - Yunusemre Mahallesi,Kayseri,3,Yunusemre Mahallesi
0 (Yeni),15,0,Konut,125,3+1,5.Kat,Merkezi Doğalgaz,295000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
3,11,2,Konut,130,3+1,4.Kat,Merkezi (Pay Ölçer),1850000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
11-15,12,1,Konut,130,3+1,7.Kat,Merkezi Doğalgaz,1200000,Kayseri - Kocasinan - Turgut Reis Mahallesi,Kayseri,3,Turgut Reis Mahallesi
11-15,9,2,Konut,135,3+1,2.Kat,Merkezi (Pay Ölçer),1250000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,3,Ahi Evran Mahallesi
0 (Yeni),12,0,Konut,90,2+1,4.Kat,Merkezi (Pay Ölçer),350000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
0 (Yeni),10,0,Konut,145,3+1,1.Kat,Merkezi (Pay Ölçer),1780000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
5-10,7,2,Konut,85,2+1,5.Kat,Merkezi Doğalgaz,920000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
16-20,9,2,Konut,95,2+1,1.Kat,Merkezi Doğalgaz,899000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
0 (Yeni),12,0,Konut,185,5+1,1.Kat,Merkezi (Pay Ölçer),2000000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
11-15,13,2,Konut,155,3+1,3.Kat,Merkezi (Pay Ölçer),3000000,Kayseri - Melikgazi - Alpaslan Mahallesi,Kayseri,4,Alpaslan Mahallesi
0 (Yeni),7,0,Konut,140,3+1,7.Kat,Merkezi (Pay Ölçer),1925000,Kayseri - Kocasinan - Uğurevler Mahallesi,Kayseri,3,Uğurevler Mahallesi
0 (Yeni),11,0,Konut,135,3+1,4.Kat,Merkezi Doğalgaz,1850000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
11-15,13,0,Konut,155,3+1,11.Kat,Kombi Doğalgaz,2500000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,4,Yıldırım Beyazıt Mahallesi
21 Ve Üzeri,2,1,Konut,200,2+1,2.Kat,Kombi Doğalgaz,1450000,Kayseri - Kocasinan - Alsancak Mahallesi,Kayseri,3,Alsancak Mahallesi
0 (Yeni),12,0,Konut,135,3+1,10.Kat,Merkezi Doğalgaz,1550000,Kayseri - Melikgazi - Şirintepe Mahallesi,Kayseri,4,Şirintepe Mahallesi
0 (Yeni),13,0,Konut,135,3+1,7.Kat,Merkezi (Pay Ölçer),1800000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
5-10,7,1,Konut,120,3+1,3.Kat,Merkezi (Pay Ölçer),1135000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
0 (Yeni),13,0,Konut,135,3+1,7.Kat,Merkezi (Pay Ölçer),1800000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
11-15,13,1,Konut,160,3+1,5.Kat,Kombi Doğalgaz,2450000,Kayseri - Kocasinan - Uğurevler Mahallesi,Kayseri,3,Uğurevler Mahallesi
21 Ve Üzeri,8,0,Konut,100,3+1,Düz Giriş,Sobalı,745000,Kayseri - Melikgazi - Kocatepe Mahallesi,Kayseri,4,Kocatepe Mahallesi
0 (Yeni),14,0,Konut,140,3+1,11.Kat,Merkezi (Pay Ölçer),1950000,Kayseri - Kocasinan - Sancaktepe Mahallesi,Kayseri,3,Sancaktepe Mahallesi
0 (Yeni),12,0,Konut,85,2+1,1.Kat,Merkezi (Pay Ölçer),1600000,Kayseri - Kocasinan - Saray Bosna Mahallesi,Kayseri,3,Saray Bosna Mahallesi
0 (Yeni),14,0,Konut,165,4.5+1,3.Kat,Merkezi (Pay Ölçer),2240000,Kayseri - Kocasinan - Saray Bosna Mahallesi,Kayseri,3,Saray Bosna Mahallesi
0 (Yeni),7,1,Konut,120,3+1,7.Kat,Kombi Doğalgaz,1695000,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Kayseri,3,Mithatpaşa Mahallesi
3,3,0,Konut,180,4+1,Villa Tipi,Kat Kaloriferi,3200000,Kayseri - Kocasinan - Çevril Mahallesi,Kayseri,3,Çevril Mahallesi
5-10,8,2,Konut,135,3+1,7.Kat,Kombi Doğalgaz,1700000,Kayseri - Melikgazi - Esenyurt Mahallesi,Kayseri,4,Esenyurt Mahallesi
0 (Yeni),3,0,Konut,265,7+1,Düz Giriş,Yerden Isıtma,10000000,Kayseri - Melikgazi - Altınoluk Mahallesi,Kayseri,4,Altınoluk Mahallesi
0 (Yeni),9,0,Konut,140,3+1,2.Kat,Merkezi (Pay Ölçer),1420000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
5-10,7,1,Konut,155,3+1,3.Kat,Merkezi Doğalgaz,1200000,Kayseri - Kocasinan - Sancaktepe Mahallesi,Kayseri,3,Sancaktepe Mahallesi
5-10,9,0,Konut,90,2+1,6.Kat,Kombi Doğalgaz,1240000,Kayseri - Melikgazi - 19 Mayıs Mahallesi,Kayseri,4,19 Mayıs Mahallesi
11-15,10,0,Konut,132,3+1,4.Kat,Merkezi (Pay Ölçer),1159000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
5-10,10,2,Konut,85,2+1,4.Kat,Merkezi Doğalgaz,1050000,Kayseri - Kocasinan - Şeker Mahallesi,Kayseri,3,Şeker Mahallesi
11-15,13,2,Konut,190,4+1,9.Kat,Merkezi Doğalgaz,2500000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
11-15,7,1,Konut,130,3+1,6.Kat,Merkezi Doğalgaz,1135000,Kayseri - Melikgazi - Gülük Mahallesi,Kayseri,4,Gülük Mahallesi
5-10,11,2,Konut,180,4+1,2.Kat,Merkezi (Pay Ölçer),4000000,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,Kayseri,3,Hoca Ahmet Yesevi Mahallesi
5-10,10,1,Konut,135,3+1,2.Kat,Merkezi Doğalgaz,1450000,Kayseri - Kocasinan - Turgut Reis Mahallesi,Kayseri,3,Turgut Reis Mahallesi
2,10,0,Konut,135,3+2,2.Kat,Merkezi (Pay Ölçer),2075000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
0 (Yeni),10,0,Konut,145,3+1,4.Kat,Merkezi (Pay Ölçer),1849000,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Kayseri,3,Mithatpaşa Mahallesi
5-10,1,2,Konut,100,2+1,Müstakil.Kat,Şömine,9350000,Kayseri - Melikgazi - Erenköy Mahallesi,Kayseri,4,Erenköy Mahallesi
0 (Yeni),3,0,Konut,250,6+1,Düz Giriş,Kombi Doğalgaz,9000000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,4,Becen Mahallesi
4,13,1,Konut,135,3+1,11.Kat,Merkezi (Pay Ölçer),1300000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
0 (Yeni),2,0,Konut,340,5+1,Müstakil.Kat,Kombi Doğalgaz,13990000,Kayseri - Melikgazi - Erenköy Mahallesi,Kayseri,4,Erenköy Mahallesi
0 (Yeni),12,0,Konut,130,3+1,3.Kat,Merkezi Doğalgaz,275000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,3,Ahi Evran Mahallesi
3,13,2,Konut,130,3+1,8.Kat,Merkezi (Pay Ölçer),1470000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
2,2,0,Konut,195,4+1,Düz Giriş,Kombi Doğalgaz,4900000,Kayseri - Melikgazi - Erenköy Mahallesi,Kayseri,4,Erenköy Mahallesi
0 (Yeni),9,0,Konut,66,2+1,9.Kat,Merkezi (Pay Ölçer),1450000,Kayseri - Kocasinan - Şeker Mahallesi,Kayseri,3,Şeker Mahallesi
0 (Yeni),8,0,Konut,125,3+1,8.Kat,Merkezi Doğalgaz,2300000,Kayseri - Kocasinan - Sahabiye Mahallesi,Kayseri,3,Sahabiye Mahallesi
21 Ve Üzeri,6,2,Konut,100,3+1,4.Kat,Kombi Doğalgaz,850000,Kayseri - Kocasinan - Gevhernesibe Mahallesi,Kayseri,3,Gevhernesibe Mahallesi
21 Ve Üzeri,4,0,Konut,125,3+1,3.Kat,Kombi Doğalgaz,995000,Kayseri - Melikgazi - Keykubat Mahallesi,Kayseri,4,Keykubat Mahallesi
5-10,11,2,Konut,155,4+1,10.Kat,Kombi Doğalgaz,2195000,Kayseri - Melikgazi - Tacettin Veli Mahallesi,Kayseri,4,Tacettin Veli Mahallesi
1,9,2,Konut,115,2+1,1.Kat,Merkezi Doğalgaz,1350000,Kayseri - Melikgazi - Battalgazi Mahallesi,Kayseri,4,Battalgazi Mahallesi
0 (Yeni),8,2,Konut,150,4+1,1.Kat,Merkezi (Pay Ölçer),1999000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
11-15,2,0,Konut,1850,3.5+1,Müstakil.Kat,Sobalı,4000000,Kayseri - Melikgazi - Güzelköy Mahallesi,Kayseri,4,Güzelköy Mahallesi
16-20,4,1,Konut,400,9+ Oda,4.Kat,Sobalı,1700000,Kayseri - Melikgazi - Osmanlı Mahallesi,Kayseri,4,Osmanlı Mahallesi
5-10,14,0,Konut,220,4+1,1.Kat,Merkezi Doğalgaz,3250000,Kayseri - Melikgazi - Gültepe Mahallesi,Kayseri,4,Gültepe Mahallesi
5-10,16,2,Konut,165,3+1,8.Kat,Kombi Doğalgaz,1650000,Kayseri - Melikgazi - Germir Mahallesi,Kayseri,4,Germir Mahallesi
0 (Yeni),10,0,Konut,70,2+1,9.Kat,Merkezi (Pay Ölçer),900000,Kayseri - Kocasinan - Osmangazi Mahallesi,Kayseri,3,Osmangazi Mahallesi
5-10,1,2,Konut,100,2+1,Düz Giriş,Kombi Doğalgaz,3850000,Kayseri - Melikgazi - Eğribucak Mahallesi,Kayseri,4,Eğribucak Mahallesi
0 (Yeni),15,0,Konut,125,3+1,4.Kat,Merkezi (Pay Ölçer),1625000,Kayseri - Kocasinan - Turgut Reis Mahallesi,Kayseri,3,Turgut Reis Mahallesi
0 (Yeni),10,0,Konut,120,3+1,5.Kat,Merkezi Doğalgaz,1990000,Kayseri - Melikgazi - Kazımkarabekir Mahallesi,Kayseri,4,Kazımkarabekir Mahallesi
0 (Yeni),14,2,Konut,120,3+1,8.Kat,Merkezi (Pay Ölçer),1900000,Kayseri - Kocasinan - Zümrüt Mahallesi,Kayseri,3,Zümrüt Mahallesi
16-20,10,2,Konut,165,4+1,1.Kat,Kombi Doğalgaz,2750000,Kayseri - Kocasinan - Yıldızevler Mahallesi,Kayseri,3,Yıldızevler Mahallesi
16-20,3,2,Konut,150,3+1,Düz Giriş,Kombi Doğalgaz,6800000,Kayseri - Melikgazi - Altınoluk Mahallesi,Kayseri,4,Altınoluk Mahallesi
0 (Yeni),13,2,Konut,150,4+1,5.Kat,Merkezi (Pay Ölçer),2745000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,4,Yıldırım Beyazıt Mahallesi
2,2,2,Konut,270,4+1,Düz Giriş,Kombi Doğalgaz,8950000,Kayseri - Melikgazi - Hisarcık Mahallesi,Kayseri,4,Hisarcık Mahallesi
11-15,9,2,Konut,140,3+1,9.Kat,Merkezi Doğalgaz,1325000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
11-15,14,2,Konut,120,3+1,11.Kat,Merkezi Doğalgaz,1290000,Kayseri - Kocasinan - Uğurevler Mahallesi,Kayseri,3,Uğurevler Mahallesi
21 Ve Üzeri,2,0,Konut,360,9+ Oda,Düz Giriş,Isıtma Yok,12000000,Kayseri - Melikgazi - Hisarcık Mahallesi,Kayseri,4,Hisarcık Mahallesi
11-15,6,1,Konut,110,3+1,5.Kat,Kombi Doğalgaz,840000,Kayseri - Melikgazi - Battalgazi Mahallesi,Kayseri,4,Battalgazi Mahallesi
5-10,15,2,Konut,160,3+1,1.Kat,Merkezi Doğalgaz,1550000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
5-10,11,2,Konut,180,4+1,11.Kat,Merkezi (Pay Ölçer),4350000,Kayseri - Kocasinan - Yakut Mahallesi,Kayseri,3,Yakut Mahallesi
5-10,5,2,Konut,80,2+1,3.Kat,Merkezi (Pay Ölçer),1000000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
0 (Yeni),10,0,Konut,130,3+1,1.Kat,Merkezi (Pay Ölçer),1300000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
0 (Yeni),6,0,Konut,150,3+1,5.Kat,Kombi Doğalgaz,1350000,Kayseri - Melikgazi - Şirintepe Mahallesi,Kayseri,4,Şirintepe Mahallesi
4,14,0,Konut,300,5+1,7.Kat,Merkezi (Pay Ölçer),8450000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,4,Yıldırım Beyazıt Mahallesi
11-15,8,0,Konut,120,3+1,6.Kat,Kombi Doğalgaz,1250000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
0 (Yeni),2,0,Konut,120,2+1,1.Kat,Kombi Doğalgaz,1750000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
5-10,15,1,Konut,130,3+1,4.Kat,Merkezi Doğalgaz,1450000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
0 (Yeni),2,0,Konut,210,4+1,Villa Tipi,Kombi Doğalgaz,6750000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
21 Ve Üzeri,4,0,Konut,90,2+1,3.Kat,Isıtma Yok,1199000,Kayseri - Melikgazi - Hunat Mahallesi,Kayseri,4,Hunat Mahallesi
0 (Yeni),13,0,Konut,185,4+1,3.Kat,Merkezi Doğalgaz,2800000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,4,Yıldırım Beyazıt Mahallesi
0 (Yeni),14,0,Konut,125,3+1,3.Kat,Merkezi (Pay Ölçer),1625000,Kayseri - Kocasinan - Yunusemre Mahallesi,Kayseri,3,Yunusemre Mahallesi
16-20,3,1,Konut,65,2+1,2.Kat,Merkezi Doğalgaz,739000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
21 Ve Üzeri,5,1,Konut,130,3+1,3.Kat,Sobalı,775000,Kayseri - Melikgazi - Cumhuriyet Mahallesi,Kayseri,4,Cumhuriyet Mahallesi
0 (Yeni),12,0,Konut,150,4+1,1.Kat,Merkezi (Pay Ölçer),2300000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,4,Yıldırım Beyazıt Mahallesi
11-15,9,1,Konut,120,3+1,9.Kat,Merkezi Doğalgaz,1200000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,3,Ahi Evran Mahallesi
0 (Yeni),76,0,Konut,110,3+1,7.Kat,Kombi Doğalgaz,1300000,Kayseri - Melikgazi - Şirintepe Mahallesi,Kayseri,4,Şirintepe Mahallesi
11-15,12,1,Konut,132,3+1,1.Kat,Merkezi (Pay Ölçer),1325000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
21 Ve Üzeri,2,0,Konut,250,6+2,Yüksek Giriş,Kombi Doğalgaz,2150000,Kayseri - Kocasinan - Yeni Mahallesi,Kayseri,3,Yeni Mahallesi
5-10,6,2,Konut,185,3+1,1.Kat,Kombi Doğalgaz,1400000,Kayseri - Melikgazi - Tavlusun Mahallesi,Kayseri,4,Tavlusun Mahallesi
11-15,14,0,Konut,220,4.5+1,10.Kat,Merkezi (Pay Ölçer),4600000,Kayseri - Melikgazi - Alpaslan Mahallesi,Kayseri,4,Alpaslan Mahallesi
0 (Yeni),2,0,Konut,210,5+1,Düz Giriş,Kombi Doğalgaz,6000000,Kayseri - Melikgazi - Gesi Mahallesi,Kayseri,4,Gesi Mahallesi
0 (Yeni),9,0,Konut,115,3.5+1,4.Kat,Merkezi (Pay Ölçer),2200000,Kayseri - Kocasinan - Sancaktepe Mahallesi,Kayseri,3,Sancaktepe Mahallesi
5-10,9,2,Konut,135,3+1,5.Kat,Kombi Doğalgaz,1250000,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,Kayseri,3,Ertuğrul Gazi Mahallesi
11-15,12,2,Konut,185,4+1,9.Kat,Merkezi Doğalgaz,2999000,Kayseri - Melikgazi - Alpaslan Mahallesi,Kayseri,4,Alpaslan Mahallesi
5-10,10,1,Konut,140,3+1,4.Kat,Merkezi (Pay Ölçer),1650000,Kayseri - Melikgazi - Kazımkarabekir Mahallesi,Kayseri,4,Kazımkarabekir Mahallesi
5-10,2,0,Konut,300,5+1,Düz Giriş,Kombi Doğalgaz,14900000,Kayseri - Melikgazi - Eğribucak Mahallesi,Kayseri,4,Eğribucak Mahallesi
5-10,14,1,Konut,260,4+1,8.Kat,Merkezi (Pay Ölçer),4100000,Kayseri - Melikgazi - Köşk Mahallesi,Kayseri,4,Köşk Mahallesi
0 (Yeni),7,0,Konut,115,3+1,Düz Giriş,Kombi Doğalgaz,1500000,Kayseri - Kocasinan - Yavuzlar Mahallesi,Kayseri,3,Yavuzlar Mahallesi
2,12,2,Konut,156,3+1,1.Kat,Merkezi (Pay Ölçer),2175000,Kayseri - Kocasinan - Yenidoğan Mahallesi,Kayseri,3,Yenidoğan Mahallesi
0 (Yeni),1,0,Konut,60,Stüdyo,Villa Tipi,Isıtma Yok,1500000,Kayseri - Kocasinan - Boyacı Mahallesi,Kayseri,3,Boyacı Mahallesi
0 (Yeni),14,0,Konut,115,2+1,3.Kat,Merkezi Doğalgaz,197000,Kayseri - Kocasinan - Cırgalan Mahallesi,Kayseri,3,Cırgalan Mahallesi
16-20,2,2,Konut,360,7+1,Müstakil.Kat,Sobalı,9950000,Kayseri - Melikgazi - Erenköy Mahallesi,Kayseri,4,Erenköy Mahallesi
0 (Yeni),2,0,Konut,450,5+2,Villa Tipi,Kombi Doğalgaz,8999000,Kayseri - Melikgazi - Eğribucak Mahallesi,Kayseri,4,Eğribucak Mahallesi
21 Ve Üzeri,4,0,Konut,120,3+1,3.Kat,Merkezi Doğalgaz,739000,Kayseri - Melikgazi - Kılıçaslan Mahallesi,Kayseri,4,Kılıçaslan Mahallesi
0 (Yeni),15,0,Konut,170,4+1,6.Kat,Merkezi Doğalgaz,2650000,Kayseri - Kocasinan - Ziyagökalp Mahallesi,Kayseri,3,Ziyagökalp Mahallesi
16-20,4,2,Konut,350,9+ Oda,Düz Giriş,Kombi Doğalgaz,3500000,Kayseri - Melikgazi - Hisarcık Mahallesi,Kayseri,4,Hisarcık Mahallesi
0 (Yeni),6,0,Konut,120,3+1,2.Kat,Merkezi (Pay Ölçer),1640000,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Kayseri,3,Mithatpaşa Mahallesi
0 (Yeni),12,0,Konut,90,2+1,3.Kat,Merkezi (Pay Ölçer),292000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,3,Ahi Evran Mahallesi
0 (Yeni),14,0,Konut,180,4+1,6.Kat,Merkezi (Pay Ölçer),2650000,Kayseri - Kocasinan - Ziyagökalp Mahallesi,Kayseri,3,Ziyagökalp Mahallesi
5-10,15,2,Konut,140,3+1,7.Kat,Merkezi Doğalgaz,1500000,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,Kayseri,3,Ertuğrul Gazi Mahallesi
0 (Yeni),14,0,Konut,150,3+1,10.Kat,Merkezi (Pay Ölçer),1850000,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,Kayseri,3,Hoca Ahmet Yesevi Mahallesi
11-15,9,1,Konut,125,3+1,2.Kat,Kombi Doğalgaz,1250000,Kayseri - Melikgazi - 30 Ağustos Mahallesi,Kayseri,4,30 Ağustos Mahallesi
11-15,10,1,Konut,135,3+1,3.Kat,Merkezi Doğalgaz,1565000,Kayseri - Melikgazi - Aydınlıkevler Mahallesi,Kayseri,4,Aydınlıkevler Mahallesi
11-15,2,0,Konut,140,3+1,Düz Giriş,Sobalı,3200000,Kayseri - Melikgazi - Ağırnas Mahallesi,Kayseri,4,Ağırnas Mahallesi
21 Ve Üzeri,2,1,Konut,120,2+1,1.Kat,Kombi Doğalgaz,875000,Kayseri - Kocasinan - Yeni Mahallesi,Kayseri,3,Yeni Mahallesi
0 (Yeni),14,0,Konut,160,4+1,6.Kat,Merkezi (Pay Ölçer),2200000,Kayseri - Kocasinan - Osmangazi Mahallesi,Kayseri,3,Osmangazi Mahallesi
5-10,13,0,Konut,122,3+1,12.Kat,Merkezi Doğalgaz,1550000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
