İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yapı Durumu,Eşya Durumu,Banyo Sayısı,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Site İçerisinde,Takas,Fiyat Durumu,Kategori,Konumu,Fiyat,İlan Açıklaması
13361851,10 Temmuz 2023,Satılık,200 M2,2,2,Kiracı Oturuyor,,Boş,2,05 Haziran 2023,Konut,165 M2,3+1,,Kombi Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,Villa,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,"4,450,000",
13377596,03 Ağustos 2023,Satılık,230 M2,0 (Yeni),15,Mülk Sahibi Oturuyor,Sıfır,Boş,2,08 Haziran 2023,Konut,200 M2,4+1,4.Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Kocasinan - General Emir Mahallesi,"3,550,000",
13361852,10 Temmuz 2023,Satılık,100 M2,5-10,5,Kiracı Oturuyor,,Boş,1,05 Haziran 2023,Konut,85 M2,2+1,1.Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil,Hayır,Var,Genel Fiyat,Daire,Kayseri - Melikgazi - Demokrasi Mahallesi,"925,000",
13362685,17 Temmuz 2023,Satılık,155 M2,5-10,14,Kiracı Oturuyor,,Boş,2,06 Haziran 2023,Konut,135 M2,3+1,3.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Talas - Mevlana Mahallesi,"1,675,000",
13363285,30 Temmuz 2023,Satılık,450 M2,5-10,3,Mülk Sahibi Oturuyor,,Boş,4,06 Haziran 2023,Konut,400 M2,6+2,,Kombi Doğalgaz,Krediye Uygun,Hayır,Yok,Genel Fiyat,Villa,Kayseri - Melikgazi - Erenköy Mahallesi,"21,000,000",
13363286,06 Haziran 2023,Satılık,350 M2,0 (Yeni),2,Boş,,Boş,4,06 Haziran 2023,Konut,250 M2,3+2,,Yerden Isıtma,Krediye Uygun,Evet,Yok,Genel Fiyat,Villa,Kayseri - Melikgazi - Hisarcık Mahallesi,"8,950,000",
13364736,23 Haziran 2023,Satılık,120 M2,5-10,12,Boş,,Boş,2,06 Haziran 2023,Konut,90 M2,3+1,5.Kat,Merkezi Doğalgaz,Krediye Uygun Değil,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Gesi Fatih Mahallesi,"100,000",
13365150,03 Ağustos 2023,Satılık,175 M2,11-15,12,Kiracı Oturuyor,İkinci El,Boş,1,06 Haziran 2023,Konut,125 M2,3+1,1.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Esenyurt Mahallesi,"1,600,000",Genis otopark bahçe merkezi sistem geniş kullanımlı krediye uygun dairemiz görmek için iletişime geçiniz
13364790,31 Temmuz 2023,Satılık,130 M2,3,7,Kiracı Oturuyor,İkinci El,,1,06 Haziran 2023,Konut,112 M2,3+1,4.Kat,Merkezi (Pay Ölçer),,Hayır,Var,Genel Fiyat,Daire,Kayseri - Melikgazi - Bahçelievler Mahallesi,"1,470,000",
13364977,03 Ağustos 2023,Satılık,175 M2,16-20,6,Mülk Sahibi Oturuyor,,Boş,1,06 Haziran 2023,Konut,125 M2,3+1,4.Kat,Kombi Doğalgaz,,Hayır,Yok,Birim Fiyat,Daire,Kayseri - Melikgazi - Esenyurt Mahallesi,"1,550,000",Çarşı merkeze yakin Kombili meskenli arakat avm park cami okul v.s her katta iki daire geniş kullanımlı dairemizi görmek için iletişime geçiniz
13367530,06 Haziran 2023,Satılık,125 M2,0 (Yeni),5,Boş,,Boş,3,06 Haziran 2023,Konut,110 M2,3+0,1.Kat,Merkezi (Pay Ölçer),,Hayır,Var,Genel Fiyat,Daire,Kayseri - Talas - Bahçelievler Mahallesi,"1,445,000",
13361026,17 Temmuz 2023,Satılık,165 M2,5-10,8,Mülk Sahibi Oturuyor,,Boş,1,05 Haziran 2023,Konut,130 M2,3+1,4.Kat,Kombi Doğalgaz,,Hayır,,Genel Fiyat,Daire,Kayseri - Melikgazi - Şirintepe Mahallesi,"1,350,000",
13366780,11 Temmuz 2023,Satılık,210 M2,5-10,14,Boş,İkinci El,Boş,2,06 Haziran 2023,Konut,180 M2,4+1,10.Kat,Merkezi (Pay Ölçer),,Evet,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Gesi Fatih Mahallesi,"2,455,000",
