Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yapı Durumu,Eşya Durumu,Banyo Sayısı,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Site İçerisinde,Kategori,Fiyat,Şehir,İlçe,Mahalle
140,0,12,0,3,2,1,0,125,8,1,5,1,1,2000000,0,4,101
65,1,1,2,3,2,0,0,50,1,12,8,1,4,945000,0,2,28
120,5,5,1,2,2,0,0,100,4,1,4,1,1,750000,0,5,56
187,1,14,0,2,2,1,0,150,8,2,6,1,1,2750000,0,7,82
110,3,5,0,3,0,0,0,95,4,1,6,1,1,1030000,0,4,113
95,8,6,1,2,0,0,0,85,4,9,5,0,1,1200000,0,5,31
350,2,2,0,3,0,3,0,300,21,12,3,1,4,2800000,0,4,25
175,2,8,1,2,0,0,0,150,8,1,4,0,1,1535000,0,5,49
140,5,6,1,3,0,0,0,115,6,1,6,1,1,1500000,0,4,33
180,2,1,2,3,0,0,0,150,12,12,8,1,4,1650000,0,4,25
240,2,14,0,3,0,2,0,200,16,2,6,1,1,2450000,0,7,16
330,3,3,2,3,0,2,0,300,22,12,8,1,6,10500000,0,5,21
150,8,7,1,3,0,0,0,130,8,1,4,1,1,900000,0,5,18
90,5,3,0,3,0,0,0,80,8,1,4,1,1,525000,0,5,11
180,5,1,2,3,0,0,0,150,8,12,8,1,4,2000000,0,4,10
150,0,10,0,3,0,1,0,115,8,1,5,1,1,2150000,0,7,117
380,2,2,2,3,0,3,0,320,26,7,3,1,1,13285000,0,5,60
700,1,3,2,3,0,3,0,300,16,12,4,1,6,9250000,0,5,7
130,5,2,2,3,0,0,0,120,4,12,1,1,4,1899000,0,4,64
170,4,11,2,3,0,1,0,130,8,1,5,1,1,1500000,0,5,107
275,2,10,0,3,0,1,0,250,12,1,4,0,1,2450000,0,5,133
160,8,7,1,3,2,1,0,120,8,1,4,1,1,1345000,0,4,2
170,2,14,1,3,0,1,0,120,8,2,6,1,1,1900000,0,7,16
298,2,3,2,3,0,1,0,110,8,12,4,1,6,3500000,0,5,19
150,8,8,2,2,1,0,0,120,8,1,4,1,1,1450000,0,5,11
95,0,7,0,0,0,1,0,75,4,1,5,1,1,1450000,0,7,73
234,6,14,0,3,2,1,0,200,12,2,6,1,1,4750000,0,5,124
210,0,14,0,3,2,1,0,180,12,1,6,1,1,3475000,0,7,82
175,0,9,0,3,0,1,0,135,8,1,5,0,1,2235000,0,4,95
150,8,14,0,3,0,0,0,135,8,2,6,1,1,1330000,0,7,82
170,0,12,0,3,2,1,0,139,12,1,5,1,2,1220000,0,5,133
130,1,5,0,3,2,0,0,120,8,1,4,1,1,1800000,0,1,15
140,1,5,0,3,2,0,0,130,8,1,6,1,1,1450000,0,1,42
170,6,11,2,3,2,0,0,125,8,2,5,1,1,1950000,0,5,70
175,0,13,0,0,2,1,0,140,8,1,5,0,1,1879000,0,5,121
180,8,8,1,3,2,0,0,135,8,1,4,0,1,1535000,0,5,49
150,8,9,2,3,2,0,0,120,8,1,6,1,1,1375000,0,5,133
125,5,3,2,2,2,0,0,100,8,1,4,1,1,875000,0,1,134
170,0,14,0,3,2,1,0,145,12,1,5,1,2,650000,0,5,121
100,3,7,0,3,2,0,0,80,8,1,6,1,1,845000,0,5,1
120,0,14,0,3,0,0,0,100,6,2,6,1,1,1415000,0,7,82
115,7,9,0,3,0,0,0,90,4,1,4,1,1,1295000,0,5,0
520,3,2,0,3,0,1,0,500,8,12,4,1,4,2000000,0,7,20
185,2,10,2,2,0,0,0,155,8,1,4,1,1,1472000,0,5,121
175,6,14,1,3,0,1,0,145,8,1,6,1,1,2289000,0,7,82
90,8,14,1,3,0,0,0,75,4,1,6,1,1,875000,0,7,82
145,2,14,2,3,0,0,0,120,8,1,6,1,1,1340000,0,7,82
2141,5,1,0,3,0,1,0,300,9,12,4,1,4,5500000,0,7,127
120,0,14,0,3,0,1,0,95,4,1,6,0,1,290000,0,5,121
175,7,11,1,3,0,1,0,140,8,1,6,1,1,1840000,0,5,121
350,7,3,1,3,0,2,0,300,24,7,4,1,1,1800000,0,5,30
310,5,1,2,3,0,0,0,100,4,12,8,1,4,850000,0,4,95
170,0,7,0,3,0,1,0,169,8,1,4,1,1,1790000,0,4,95
150,0,5,0,0,0,1,0,125,8,9,4,0,1,1750000,0,1,86
170,6,12,1,3,0,1,0,145,8,1,5,1,1,1700000,0,5,49
170,8,14,0,2,0,0,0,132,8,1,6,1,1,1735000,0,7,82
160,3,7,0,3,0,0,0,130,8,1,6,1,1,1585000,0,4,33
135,8,4,0,3,2,1,0,120,8,1,4,1,1,1750000,0,1,116
230,0,13,0,0,2,1,0,200,12,1,7,1,1,3150000,0,4,36
150,0,14,0,3,2,1,0,120,8,1,6,1,1,24000,0,5,49
150,8,12,0,3,2,1,0,130,8,1,5,1,1,1750000,0,7,117
165,8,14,1,3,0,1,0,135,8,6,5,1,1,1650000,0,5,49
575,1,1,0,3,0,0,0,85,4,12,8,1,6,2600000,0,4,59
135,2,15,0,3,2,1,0,110,8,2,6,1,1,1200000,0,5,136
165,8,10,2,3,0,0,0,130,8,1,4,1,1,1450000,0,5,133
165,0,10,0,3,0,1,0,135,10,1,5,1,1,1949000,0,4,96
155,3,11,0,2,0,0,0,125,8,1,6,1,1,1340000,0,4,22
125,5,3,1,2,0,0,0,100,8,9,8,1,1,1020000,0,7,63
165,8,8,0,3,2,1,0,130,8,1,4,0,1,1390000,0,5,52
180,0,7,0,3,2,1,0,150,10,1,4,1,1,3200000,0,5,48
185,0,14,0,0,2,1,0,145,8,1,5,1,1,2750000,0,7,82
170,7,4,2,2,2,1,0,135,8,1,5,1,1,1850000,0,5,121
180,1,13,2,3,0,1,0,179,8,2,6,1,1,1930000,0,4,66
165,0,2,0,0,0,1,0,125,8,12,4,0,6,4500000,0,4,36
160,5,4,2,3,0,0,0,135,8,6,6,1,1,1550000,0,4,43
175,8,12,2,3,0,0,0,150,8,1,6,1,1,3500000,0,5,77
185,6,14,0,3,0,1,0,155,12,2,5,1,1,3100000,0,7,82
115,6,5,2,3,0,0,0,90,4,1,4,1,1,1450000,0,4,89
140,0,14,2,3,0,0,0,130,6,9,6,1,1,1400000,0,4,117
240,2,13,0,3,1,0,0,200,12,1,5,1,1,2875000,0,7,82
524,8,2,2,3,0,1,0,218,16,12,4,0,6,7250000,0,5,39
160,3,6,0,3,2,1,0,120,8,1,6,1,1,2750000,0,5,5
185,8,13,0,3,0,1,0,165,8,1,6,1,1,2300000,0,5,48
246,3,4,1,3,0,3,0,110,4,12,4,1,4,2900000,0,5,30
175,3,4,2,3,0,0,0,155,8,1,4,1,1,1320000,0,5,72
220,8,4,0,3,2,1,0,190,12,1,5,1,1,2350000,0,5,133
180,0,14,0,3,0,1,0,140,12,1,5,1,1,2585000,0,7,82
160,5,11,0,3,0,1,0,130,8,1,6,1,1,1800000,0,5,88
117,6,10,0,3,2,1,0,105,4,1,6,1,1,1390000,0,5,121
175,2,8,1,3,0,1,0,150,8,1,4,1,1,1588000,0,4,74
165,8,12,2,2,2,1,0,135,8,1,4,1,1,1770000,0,5,11
170,1,12,0,0,0,1,0,130,8,1,5,1,1,1950000,0,5,121
160,0,4,0,1,0,1,0,130,12,1,2,1,1,1750000,0,1,116
140,5,6,2,3,0,0,0,110,8,6,5,1,1,970000,0,4,82
165,0,8,0,3,0,0,0,125,8,1,5,0,1,2380000,0,4,85
80,3,7,0,3,0,0,0,79,8,1,4,1,1,845000,0,5,1
200,0,1,0,3,0,0,0,155,1,12,8,1,6,1890000,0,3,4
185,0,9,0,3,0,1,0,150,10,1,5,1,1,2550000,0,7,82
145,3,9,2,3,2,0,0,120,8,1,6,0,1,1300000,0,5,7
165,7,14,1,3,2,1,0,130,8,1,5,1,1,1650000,0,7,82
165,0,14,0,3,0,1,0,125,8,1,5,1,2,400000,0,5,121
165,8,15,1,2,0,1,0,135,8,1,6,1,1,1500000,0,5,49
100,5,2,0,3,0,0,0,80,4,12,4,1,4,1650000,0,5,50
165,0,12,0,3,2,1,0,125,8,1,7,1,1,1975000,0,5,121
280,7,14,1,3,1,2,0,210,12,2,5,0,1,7000000,0,4,33
130,3,3,2,3,0,0,0,110,4,1,4,1,1,875000,0,1,42
120,5,10,1,3,2,0,0,100,8,1,4,1,1,1020000,0,5,8
175,7,11,1,3,2,1,0,140,8,1,6,1,2,1730000,0,5,121
165,8,6,0,2,0,0,0,140,8,1,4,1,1,2525000,0,4,129
135,3,7,0,3,2,0,0,120,8,1,6,1,1,1250000,0,4,22
175,8,12,2,3,0,1,0,130,8,1,5,0,1,2080000,0,7,73
180,2,8,2,3,0,1,0,150,8,1,4,1,1,1450000,0,5,94
130,1,6,0,3,2,0,0,127,8,1,6,1,1,1350000,0,1,86
170,8,9,0,3,0,0,0,139,8,1,4,1,1,1550000,0,5,136
155,2,10,2,2,0,0,0,135,8,1,6,1,1,1550000,0,7,117
165,8,12,0,3,2,0,0,130,8,1,4,1,1,1600000,0,5,133
200,2,14,0,3,2,1,0,160,8,2,5,1,1,3225000,0,5,77
175,8,14,2,3,0,0,0,150,8,2,5,1,1,2100000,0,7,16
135,3,1,0,3,0,0,0,110,8,7,8,1,1,1100000,0,4,117
140,8,13,0,3,0,1,0,110,8,1,5,0,1,2200000,0,7,82
175,3,8,0,3,0,1,0,155,8,1,4,1,1,1499000,0,5,38
75,7,14,2,3,0,0,0,50,1,1,5,1,1,1150000,0,7,117
160,5,15,2,3,0,0,0,135,8,1,5,1,1,1095000,0,7,82
165,0,1,0,3,2,1,0,129,8,1,5,0,2,315000,0,5,83
150,8,8,2,3,2,0,0,120,8,1,6,1,1,1600000,0,5,70
195,2,7,2,3,0,0,0,175,8,1,6,1,1,2100000,0,5,56
150,3,4,2,3,0,0,0,120,8,1,4,0,1,910000,0,4,43
190,8,13,1,3,0,1,0,165,8,1,5,1,1,1895000,0,4,96
175,8,13,2,2,1,1,0,135,8,2,5,1,1,1600000,0,5,16
165,0,12,0,3,2,1,0,130,7,1,5,0,1,1550000,0,4,135
150,2,7,0,3,2,0,0,130,8,1,5,1,1,1280000,0,5,16
175,2,10,0,3,2,0,0,135,8,1,4,1,1,1575000,0,4,120
175,2,14,0,2,2,0,0,130,8,2,6,1,1,2150000,0,5,124
400,0,2,0,3,2,2,0,200,12,12,9,0,6,5750000,0,5,50
120,0,13,0,3,2,1,0,100,4,1,6,1,1,1400000,0,5,49
130,3,4,1,3,0,0,0,110,8,5,8,1,1,760000,0,5,78
150,8,14,0,2,2,0,0,110,8,1,4,1,1,1500000,0,5,136
145,3,8,2,2,0,0,0,135,4,1,4,1,1,1250000,0,4,83
165,0,9,0,0,2,0,0,120,8,1,4,1,1,2000000,0,5,11
43,5,1,0,3,0,0,0,42,3,12,2,1,4,1100000,0,7,105
150,5,5,1,3,0,0,0,140,8,6,4,1,1,1050000,0,4,116
96,1,13,1,3,0,0,0,73,4,1,5,1,1,1550000,0,4,135
140,5,2,0,3,0,0,0,120,11,12,8,1,4,220000,0,5,60
200,0,14,0,3,0,1,0,155,12,1,5,1,1,2750000,0,4,129
45,8,14,1,2,1,0,0,30,1,1,5,1,1,850000,0,7,82
1055,0,3,0,3,2,1,0,330,13,6,0,1,1,5950000,0,3,13
170,8,12,2,3,2,1,0,160,8,1,5,0,1,1550000,0,4,22
175,0,12,0,3,2,1,0,135,8,1,5,1,1,1595000,0,5,40
140,2,9,0,3,0,0,0,115,8,1,5,1,1,1350000,0,5,37
220,6,14,0,3,0,1,0,190,12,1,5,1,1,2789000,0,7,82
155,2,14,1,3,0,0,0,120,8,1,6,1,1,1365000,0,7,82
165,7,14,1,3,2,0,0,130,8,2,5,1,1,1469999,0,7,82
170,8,14,2,3,0,0,0,135,8,1,5,1,1,1469000,0,7,82
175,8,12,0,2,0,0,0,150,8,1,6,1,1,1750000,0,7,117
165,4,12,1,2,2,1,0,120,8,1,5,0,1,1445000,0,4,22
200,7,5,2,3,0,0,0,165,12,1,6,1,1,3000000,0,4,85
135,0,5,0,0,2,0,0,100,4,1,4,1,1,1400000,0,5,67
110,0,4,0,1,2,0,0,90,4,1,4,1,1,1149000,0,1,86
185,2,9,2,3,0,0,0,145,8,1,5,1,1,2095000,0,5,124
200,0,9,0,0,2,1,0,175,12,1,5,1,1,3625000,0,4,135
120,0,14,0,3,2,0,0,90,4,1,5,1,1,1485000,0,7,82
285,8,8,1,3,0,1,0,270,8,1,6,1,1,2550000,0,5,37
185,8,3,0,2,2,1,0,145,8,1,4,1,1,1635000,0,5,37
982,3,2,1,3,0,2,0,981,16,12,8,1,4,1700000,0,5,60
155,2,14,0,3,0,0,0,130,8,2,5,1,1,1250000,0,7,82
138,0,2,0,0,0,1,0,118,8,1,4,1,1,1820000,0,4,47
165,2,14,1,3,0,0,0,150,8,6,4,1,1,1850000,0,7,16
110,8,9,2,3,1,0,0,70,1,1,4,1,1,755000,0,5,100
175,0,9,0,3,0,1,0,140,8,1,5,1,1,2225000,0,7,82
185,0,9,0,3,0,1,0,150,12,1,5,1,1,2920000,0,7,82
165,2,12,0,3,2,0,0,130,8,1,6,1,1,1380000,0,5,88
120,0,1,0,3,2,0,0,100,4,1,5,0,2,265000,0,5,84
155,4,13,0,0,0,1,0,135,8,2,6,0,1,2300000,0,5,124
