,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk,Yatırıma Uygunluk
157,13558068,13 Temmuz 2023,Satılık,150 M2,1,12,Mülk Sahibi Oturuyor,13 Temmuz 2023,Konut,130 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.440.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,
158,13554926,23 Temmuz 2023,Satılık,300 M2,21 Ve Üzeri,1,Kiracı Oturuyor,13 Temmuz 2023,Konut,165 M2,3.5+1,Müstakil.Kat,Sobalı,1.000.020TL,Kayseri - Kocasinan - Sancaktepe Mahallesi,,
159,13554363,13 Temmuz 2023,Satılık,175 M2,1,10,Boş,13 Temmuz 2023,Konut,138 M2,3+1,2.Kat,Merkezi (Pay Ölçer),1.755.000TL,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,,
160,13550322,25 Temmuz 2023,Satılık,190 M2,11-15,7,Boş,12 Temmuz 2023,Konut,160 M2,4+1,5.Kat,Merkezi Doğalgaz,1.350.000TL,Kayseri - Kocasinan - Sahabiye Mahallesi,,
161,13549712,29 Temmuz 2023,Satılık,165 M2,0 (Yeni),10,Boş,12 Temmuz 2023,Konut,125 M2,3+1,8.Kat,Merkezi (Pay Ölçer),2.050.000TL,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Krediye Uygun Değil,
162,13549606,29 Temmuz 2023,Satılık,165 M2,5-10,8,Mülk Sahibi Oturuyor,12 Temmuz 2023,Konut,140 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.675.000TL,Kayseri - Kocasinan - Argıncık Mahallesi,,
163,13413996,08 Temmuz 2023,Satılık,106 M2,0 (Yeni),10,Boş,14 Haziran 2023,Konut,75 M2,2+1,2.Kat,Kat Kaloriferi,1.525.000TL,Kayseri - Kocasinan - Sancaktepe Mahallesi,Krediye Uygun Değil,
164,13413631,17 Temmuz 2023,Satılık,126 M2,2,17,Boş,14 Haziran 2023,Konut,106 M2,2+1,9.Kat,Merkezi (Pay Ölçer),2.100.000TL,Kayseri - Kocasinan - Sahabiye Mahallesi,,
165,13413549,04 Temmuz 2023,Satılık,90 M2,0 (Yeni),15,Boş,14 Haziran 2023,Konut,70 M2,2+1,7.Kat,Merkezi (Pay Ölçer),1.795.000TL,Kayseri - Kocasinan - Şeker Mahallesi,Krediye Uygun Değil,
166,13413528,11 Temmuz 2023,Satılık,175 M2,5-10,14,Mülk Sahibi Oturuyor,14 Haziran 2023,Konut,148 M2,3+1,13.Kat,Merkezi (Pay Ölçer),2.200.000TL,Kayseri - Kocasinan - Seyrani Mahallesi,,
167,13413186,29 Temmuz 2023,Satılık,130 M2,21 Ve Üzeri,3,Kiracı Oturuyor,14 Haziran 2023,Konut,100 M2,2+1,3.Kat,Kombi Doğalgaz,850.000TL,Kayseri - Kocasinan - General Emir Mahallesi,Krediye Uygun Değil,
168,13413179,20 Temmuz 2023,Satılık,175 M2,0 (Yeni),15,Boş,14 Haziran 2023,Konut,140 M2,3+1,10.Kat,Merkezi Doğalgaz,1.890.000TL,Kayseri - Kocasinan - Sancaktepe Mahallesi,Krediye Uygun Değil,
169,13413106,29 Temmuz 2023,Satılık,230 M2,0 (Yeni),12,Boş,14 Haziran 2023,Konut,120 M2,3+1,4.Kat,Merkezi Doğalgaz,375.000TLarrow_downward%3,Kayseri - Kocasinan - Yavuz Selim Mahallesi,Krediye Uygun Değil,
170,13413051,07 Temmuz 2023,Satılık,175 M2,0 (Yeni),13,Boş,14 Haziran 2023,Konut,128 M2,3+1,3.Kat,Merkezi (Pay Ölçer),2.200.000TL,Kayseri - Kocasinan - Osmangazi Mahallesi,,
171,13412989,29 Temmuz 2023,Satılık,120 M2,0 (Yeni),12,Boş,14 Haziran 2023,Konut,110 M2,2+1,4.Kat,Merkezi Doğalgaz,276.000TLarrow_downward%5,Kayseri - Kocasinan - Yavuz Selim Mahallesi,Krediye Uygun Değil,
172,13568576,29 Temmuz 2023,Satılık,200 M2,1,13,Mülk Sahibi Oturuyor,15 Temmuz 2023,Konut,180 M2,3+1,13.Kat,Merkezi Doğalgaz,2.100.000TL,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,,
173,13567861,15 Temmuz 2023,Satılık,165 M2,5-10,10,Mülk Sahibi Oturuyor,15 Temmuz 2023,Konut,125 M2,3+1,4.Kat,Merkezi Doğalgaz,1.580.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
174,13561560,24 Temmuz 2023,Satılık,165 M2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,14 Temmuz 2023,Konut,150 M2,3+1,Bahçe Katı,Sobalı,1.725.000TL,Kayseri - Kocasinan - Saraycık Mahallesi,Krediye Uygun Değil,
175,13561470,17 Temmuz 2023,Satılık,165 M2,4,12,Mülk Sahibi Oturuyor,14 Temmuz 2023,Konut,135 M2,3+1,5.Kat,Merkezi Doğalgaz,1.650.000TLarrow_downward%90,Kayseri - Kocasinan - Erkilet Mahallesi,,
176,13561352,14 Temmuz 2023,Satılık,645 M2,21 Ve Üzeri,1,Boş,14 Temmuz 2023,Konut,640 M2,1+1,Düz Giriş,Sobalı,945.000TL,Kayseri - Kocasinan - Saraycık Mahallesi,Krediye Uygun Değil,
177,13559948,18 Temmuz 2023,Satılık,150 M2,5-10,9,Kiracı Oturuyor,13 Temmuz 2023,Konut,130 M2,3+1,8.Kat,Merkezi Doğalgaz,1.350.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
178,13559559,25 Temmuz 2023,Satılık,125 M2,1,14,Boş,13 Temmuz 2023,Konut,100 M2,2.5+1,8.Kat,Merkezi (Pay Ölçer),1.750.000TL,Kayseri - Kocasinan - Ziyagökalp Mahallesi,Bilinmiyor,
179,13559042,24 Temmuz 2023,Satılık,185 M2,2,14,Boş,13 Temmuz 2023,Konut,145 M2,3.5+1,7.Kat,Merkezi (Pay Ölçer),2.295.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,
180,13558068,13 Temmuz 2023,Satılık,150 M2,1,12,Mülk Sahibi Oturuyor,13 Temmuz 2023,Konut,130 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.440.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,
181,13554926,23 Temmuz 2023,Satılık,300 M2,21 Ve Üzeri,1,Kiracı Oturuyor,13 Temmuz 2023,Konut,165 M2,3.5+1,Müstakil.Kat,Sobalı,1.000.020TL,Kayseri - Kocasinan - Sancaktepe Mahallesi,,
182,13554363,13 Temmuz 2023,Satılık,175 M2,1,10,Boş,13 Temmuz 2023,Konut,138 M2,3+1,2.Kat,Merkezi (Pay Ölçer),1.755.000TL,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,,
