Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yapı Durumu,Eşya Durumu,Banyo Sayısı,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Site İçerisinde,Kategori,Fiyat,İlan Açıklaması,Şehir,İlçe,Mahalle
145,3,13,Kiracı Oturuyor,,,1,Konut,135,3+1,10.Kat,Merkezi Doğalgaz,Hayır,Daire,1700000,DETAYLAR İÇİN LÜTFEN YETKİLİ OFİS DANIŞMANIMIZLA İLETİŞİME GEÇİNİZ….,Kayseri,Melikgazi,Anbar Mahallesi
160,5-10,10,Kiracı Oturuyor,,Boş,1,Konut,145,3+1,8.Kat,Merkezi Doğalgaz,Hayır,Daire,2850000,,Kayseri,Melikgazi,Yıldırım Beyazıt Mahallesi
155,16-20,12,Kiracı Oturuyor,İkinci El,,1,Konut,130,3+1,7.Kat,Merkezi Doğalgaz,Hayır,Daire,1220000,,Kayseri,Kocasinan,Beyazşehir Mahallesi
140,11-15,14,Kiracı Oturuyor,İkinci El,,1,Konut,125,3+1,12.Kat,Merkezi Doğalgaz,Hayır,Daire,1240000,"DAİREMİZ TALAS MEVLANA MAH  ANAYURT DAİRESİDİR  DIŞ CEPHE MANTOLAMASI YAPILI  TAKAS TEKLİFLERİ DEĞERLENDİRİLİR.  HER TÜRLÜ SOSYAL YAŞAM MERKEZİNE YÜRÜME MESAFESİNDEDİR. OLDUKÇA GENİŞTİR.   KREDİYE UYGUN OLUP KREDİ İŞLEMLERİNİZİ​ HİÇBİR ÜCRET ALMADAN UZMAN BANKA DANIŞMANLARIMIZCA TAKİP ETMEKTEYİZ.​.. Banka Kredinizi, Daire Expertizini ve Tapu Takip İşlemlerinizi Hızlı ve Eksiksiz Bir Şekilde Takip Edip Tapunuzu Teslim Edelim...  DAİREMİZİN HİÇ BİR BORCU OLMAYIP MESKEN RUHSATI MEVCUTTUR ( SORUNLU MESKENİ OLMAYAN YERLER İLE KARIŞTIRMAYINIZ )  DETAYLI BİLGİ İÇİN LÜTFEN ARAYIN  UĞUR AVCI",Kayseri,Talas,Mevlana Mahallesi
140,0 (Yeni),4,Boş,Sıfır,,2,Konut,120,3+1,4.Kat,Kombi Doğalgaz,Hayır,Daire,1350000,TL,Kayseri,Develi,Harman Mahallesi
4327,1,1,Mülk Sahibi Oturuyor,İkinci El,,1,Konut,100,1+1,,Sobalı,Hayır,Müstakil Ev,3000000,"İncesu Garipçe de yol kenarında güzel konumda bulunan 4327 m² içerisinde yapı kayıt belgeli evi bulunan bağ satılıktır. İçerisinde elektrik vardır ,üzüm çubukları dikilidir, su hattı çekilmek üzeredir. Gelişmekte olan bölgededir. Şehir hayatından kurtulmak veya yatırım yapmak isteyenler için kaçırılmayacak bir fırsat yeridir.",Kayseri,İncesu,Garipçe Mahallesi
160,0 (Yeni),4,Boş,Sıfır,,2,Konut,135,4+1,Yüksek Giriş,Kombi Doğalgaz,Hayır,Daire,1800000,"TL, DETAYLI BİLGİ ALMAK İÇİN FIRMAMIZLA ILETISIME GECEBILIRSINIZ, BOSTANCI EMLAK, TANER BOSTANCI, İŞYERİ ADRESİ IBRAHİMAGA MAHALLESI KARAMÜFTÜ CADDESI YAPIKREDI BANK ARKASI DEVELI KAYSERİ",Kayseri,Develi,Yeni Mahallesi
160,11-15,5,Mülk Sahibi Oturuyor,,Boş,1,Konut,120,3+1,5.Kat,Kombi Doğalgaz,Hayır,Daire,1650000,,Kayseri,Kocasinan,General Emir Mahallesi
90,3,16,Boş,,Boş,1,Konut,80,2+1,1.Kat,Merkezi (Pay Ölçer),Evet,Daire,1680000,,Kayseri,Kocasinan,Sahabiye Mahallesi
175,0 (Yeni),14,Boş,,,2,Konut,135,3+1,7.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1900000,,Kayseri,Kocasinan,Beyazşehir Mahallesi
80,2,3,Kiracı Oturuyor,,Boş,1,Konut,55,1+1,2.Kat,Kombi Doğalgaz,Hayır,Daire,1150000,,Kayseri,Kocasinan,Şeker Mahallesi
220,5-10,10,Mülk Sahibi Oturuyor,,Boş,2,Konut,185,4+1,9.Kat,Merkezi (Pay Ölçer),Hayır,Daire,5200000,,Kayseri,Melikgazi,Köşk Mahallesi
135,11-15,12,Kiracı Oturuyor,,Boş,2,Konut,125,3+1,2.Kat,Merkezi (Pay Ölçer),Evet,Daire,1795000,,Kayseri,Talas,Yenidoğan Mahallesi
155,11-15,13,Kiracı Oturuyor,,,2,Konut,130,3+1,Yüksek Giriş,Merkezi Doğalgaz,Hayır,Daire,1525000,,Kayseri,Melikgazi,Gesi Fatih Mahallesi
145,11-15,9,Mülk Sahibi Oturuyor,,,1,Konut,120,3+1,9.Kat,Merkezi Doğalgaz,Hayır,Daire,1375000,,Kayseri,Melikgazi,Gesi Fatih Mahallesi
175,11-15,14,Kiracı Oturuyor,,,2,Konut,140,3+1,10.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1550000,,Kayseri,Melikgazi,İldem Cumhuriyet Mahallesi
175,5-10,13,Boş,,,2,Konut,165,3+1,10.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1550000,DAİREMİZ BOŞTUR 3+1 OLUP GAYET TEMİZ VE BAKIMLI Bİ DAİREDİR DAİREMİZ ARA KATTIR EMSALLERİNDEN COK UYGUNDUR,Kayseri,Melikgazi,Gesi Fatih Mahallesi
165,16-20,9,Kiracı Oturuyor,,,2,Konut,135,3+1,9.Kat,Merkezi (Pay Ölçer),Evet,Daire,1375000,,Kayseri,Melikgazi,Gesi Fatih Mahallesi
155,11-15,14,Boş,İkinci El,Eşyalı,2,Konut,135,3+1,13.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1465000,,Kayseri,Melikgazi,Gesi Fatih Mahallesi
165,5-10,12,Mülk Sahibi Oturuyor,,,1,Konut,130,3+1,12.Kat,Kat Kaloriferi,Hayır,Daire,1475000,,Kayseri,Melikgazi,Gesi Fatih Mahallesi
105,1,4,Kiracı Oturuyor,,,1,Konut,85,2+1,2.Kat,Kombi Doğalgaz,Hayır,Daire,1195000,TL,Kayseri,Develi,Aşık Seyrani Mahallesi
210,0 (Yeni),12,Boş,,,2,Konut,180,4+1,12.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1950000,,Kayseri,Melikgazi,İldem Cumhuriyet Mahallesi
155,21 Ve Üzeri,8,Boş,,,1,Konut,140,3+1,2.Kat,Merkezi Doğalgaz,Hayır,Daire,1590000,,Kayseri,Kocasinan,Fevzi Çakmak Mahallesi
150,21 Ve Üzeri,2,Boş,,,1,Konut,135,3+1,Yüksek Giriş,Sobalı,Hayır,Daire,1150000,"Esenyurt Pazar yerinköşesinde 3+1  , zemin kat ,doğal gaz kapıda sobalı daire.Kuzey-Batı cephe. Binanın geniş kapalı otoparkı bulunmaktadır.",Kayseri,Melikgazi,Battalgazi Mahallesi
155,16-20,14,Boş,,,1,Konut,135,3+1,11.Kat,Merkezi Doğalgaz,Hayır,Daire,1400000,,Kayseri,Talas,Mevlana Mahallesi
145,5-10,14,Mülk Sahibi Oturuyor,,Boş,1,Konut,125,3+1,10.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1550000,,Kayseri,Melikgazi,Bahçelievler Mahallesi
245,11-15,10,Kiracı Oturuyor,,Boş,3,Konut,200,6+1,10.Kat,Kombi Doğalgaz,Hayır,Daire,2400000,,Kayseri,Melikgazi,Esenyurt Mahallesi
640,0 (Yeni),2,Boş,Sıfır,Boş,4,Konut,350,7+1,,Kombi Doğalgaz,Hayır,Villa,15750000,,Kayseri,Melikgazi,Hisarcık Mahallesi
165,0 (Yeni),13,Boş,,Boş,1,Konut,125,3+1,3.Kat,Merkezi (Pay Ölçer),Hayır,Daire,4000000,,Kayseri,Melikgazi,Yıldırım Beyazıt Mahallesi
155,11-15,14,Mülk Sahibi Oturuyor,İkinci El,,1,Konut,135,3+1,7.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1250000,,Kayseri,Talas,Mevlana Mahallesi
175,4,14,Mülk Sahibi Oturuyor,,Boş,2,Konut,160,3+1,11.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1950000,,Kayseri,Talas,Mevlana Mahallesi
135,11-15,11,Boş,,Boş,1,Konut,120,3+1,4.Kat,Merkezi Doğalgaz,Hayır,Daire,1570000,"Turgut reis mah., Esence cad., Kırlangıç sitesi A bloktaki dairemz Satılık'tir..., Merkezi ısıtma, Çift asansör, Çift balkon, mutfak ve banyoda sıcak su, KB cephe, 120m. Net büyüklüğü, 3+1 odasi yapılısı normal olan dairemiz yeni sahibini beklemektedir., % 2 hizmet bedelimiz vardır., Tapu kanunen yarı yarıyadir., Alana ve satana hayırlı olması dileklerimizle ...",Kayseri,Kocasinan,Turgut Reis Mahallesi
165,11-15,14,Mülk Sahibi Oturuyor,İkinci El,Boş,1,Konut,135,3+1,7.Kat,Kombi Doğalgaz,Hayır,Daire,1550000,"MİTHATPAŞA MAH HARİKA KONUMLU GENİŞ 3+1DAİRE.SPOR LİSESİ,MARKET VS YAKINI,ŞEHİR HASTANESI KANAL YOLU DİBİNDE HARİKA KOMBİLİ DAİRE",Kayseri,Kocasinan,Mithatpaşa Mahallesi
280,0 (Yeni),14,Boş,Sıfır,,2,Konut,260,4+1,8.Kat,Merkezi (Pay Ölçer),Hayır,Daire,9500000,,Kayseri,Melikgazi,Gültepe Mahallesi
110,5-10,9,Mülk Sahibi Oturuyor,,,1,Konut,75,1+1,6.Kat,Kombi Doğalgaz,Hayır,Daire,755000,"DAİREMİZ ESKİŞEHİR BAĞLARI YOLU ÜZERİNDEDİR EŞYALI SATILIKTIR, TAKAS TEKLİFLERİ DEĞERLENDİRİLİR.  HER TÜRLÜ SOSYAL YAŞAM MERKEZİNE YÜRÜME MESAFESİNDEDİR. OLDUKÇA GENİŞTİR.   KREDİYE UYGUN OLUP KREDİ İŞLEMLERİNİZİ​ HİÇBİR ÜCRET ALMADAN UZMAN BANKA DANIŞMANLARIMIZCA TAKİP ETMEKTEYİZ.​.. Banka Kredinizi, Daire Expertizini ve Tapu Takip İşlemlerinizi Hızlı ve Eksiksiz Bir Şekilde Takip Edip Tapunuzu Teslim Edelim...  DAİREMİZİN HİÇ BİR BORCU OLMAYIP MESKEN RUHSATI MEVCUTTUR ( SORUNLU MESKENİ OLMAYAN YERLER İLE KARIŞTIRMAYINIZ )  DETAYLI BİLGİ İÇİN LÜTFEN ARAYIN  UĞUR AVCI",Kayseri,Melikgazi,Selçuklu Mahallesi
130,21 Ve Üzeri,3,Boş,,Boş,1,Konut,110,2+1,Düz Giriş (Zemin),Sobalı,Hayır,Daire,830000,,Kayseri,Kocasinan,Kayabaşı Mahallesi
132,16-20,2,Boş,İkinci El,Boş,1,Konut,100,2.5+1,,Sobalı,Hayır,Müstakil Ev,1650000,Argıncık ta 132.86 m² alana sahip evimiz yeni tadilat görmüştür kapıları ve çelik kapısı değiştirilmiş sıva ve boya işlemlerinden geçmiştir az da olsa masraf isteyebilir alan kişi kendi zevklerine uyacak şekilde biraz masraf edebilir. Altında dükkanı vardır her türlü kullanıma müsait evin önünde 40 m² kapalı bahçe alanı vardır. Görmeden karar vermeyin binada oturamam artık diyenler için bulunmaz fırsat yeridir. Pazarlık mal sahibi ile yüzyüze yaptırılır. Alana hayırlı olsun inşallah.,Kayseri,Kocasinan,Argıncık Mahallesi
250,11-15,14,Kiracı Oturuyor,,,2,Konut,210,4+1,3.Kat,Merkezi Doğalgaz,Hayır,Daire,3440000,"-Ulaşım sorunu olmayan, -Avm , hastane, okul ,Cami,eczaneye yakın, -Geniş otoparkı olan, -4+1, -Güney,batı,kuzey cephe, -Şömineli, -İki banyo, -İki balkon, -Geniş ferah eviniz sizi bekliyor",Kayseri,Melikgazi,Alpaslan Mahallesi
165,16-20,15,Boş,,Boş,1,Konut,125,3+1,6.Kat,Merkezi Doğalgaz,Hayır,Daire,1265000,,Kayseri,Talas,Mevlana Mahallesi
165,4,12,Boş,,Boş,2,Konut,145,3+1,12.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1620000,,Kayseri,Melikgazi,Gesi Fatih Mahallesi
250,3,4,Boş,,Boş,2,Konut,220,4+1,4.Kat,Merkezi (Pay Ölçer),Evet,Daire,2375000,,Kayseri,Melikgazi,Yeşilyurt Mahallesi
265,5-10,14,Boş,,Boş,3,Konut,230,4+1,8.Kat,Merkezi (Pay Ölçer),Hayır,Daire,7850000,,Kayseri,Melikgazi,Yıldırım Beyazıt Mahallesi
120,1,2,Kiracı Oturuyor,,,1,Konut,95,2.5+1,1.Kat,Kombi Doğalgaz,Hayır,Daire,1499000,"TALAS KİÇİKÖY MAHALLESİNDE MERKEZİ KONUMLU, 2,5+1 120M2 KOMBİLİ, 2 KATLI BİNANIN 1.KATI, DETAYLI BİLGİ İÇİN ARAYINIZ",Kayseri,Talas,Kiçiköy Mahallesi
155,0 (Yeni),14,Boş,Yapım Aşamasında,,2,Konut,120,2+1,5.Kat,Merkezi Doğalgaz,Hayır,Daire,265000,,Kayseri,Melikgazi,Tavlusun Mahallesi
175,0 (Yeni),5,Kiracı Oturuyor,,,2,Konut,140,3+1,1.Kat,Merkezi Doğalgaz,Hayır,Daire,1960000,,Kayseri,Melikgazi,Şirintepe Mahallesi
85,0 (Yeni),9,Boş,Sıfır,Boş,1,Konut,70,2+1,Yüksek Giriş,Merkezi (Pay Ölçer),Hayır,Daire,1090000,,Kayseri,Kocasinan,Şeker Mahallesi
175,5-10,12,Kiracı Oturuyor,,,2,Konut,140,3+1,4.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1650000,"DAİREMİZ ERKİLET YOLUNA YAKINDIR, İÇERİSİNDE KİRACI OLUP SATILMASINA MÜTEAKİP BOŞALTILACAKTIR",Kayseri,Kocasinan,Mithatpaşa Mahallesi
165,5-10,14,Boş,,,2,Konut,145,3+1,13.Kat,Merkezi Doğalgaz,Hayır,Daire,1485000,,Kayseri,Melikgazi,Gesi Fatih Mahallesi
550,0 (Yeni),2,Boş,,Boş,2,Konut,200,3+1,,Kombi Doğalgaz,Hayır,Villa,7750000,,Kayseri,Melikgazi,Becen Mahallesi
175,11-15,9,Kiracı Oturuyor,,Boş,1,Konut,135,3+1,9.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1285000,,Kayseri,Melikgazi,Kıranardı Mahallesi
135,1,14,Kiracı Oturuyor,,,1,Konut,110,2+1,8.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1460000,MYK BELGE NO:YB0088/17UY03335/00/3508,Kayseri,Melikgazi,Bahçelievler Mahallesi
145,21 Ve Üzeri,10,Boş,,Boş,1,Konut,127,3+1,Yüksek Giriş,Merkezi Doğalgaz,Hayır,Daire,1045000,☎️,Kayseri,Melikgazi,Kocatepe Mahallesi
170,0 (Yeni),11,Boş,Sıfır,Boş,2,Konut,130,3+1,4.Kat,Merkezi Doğalgaz,Hayır,Daire,2249000,,Kayseri,Kocasinan,Zümrüt Mahallesi
185,0 (Yeni),14,Boş,Yapım Aşamasında,,2,Konut,138,3.5+1,3.Kat,Merkezi Doğalgaz,Hayır,Daire,2349000,,Kayseri,Kocasinan,Zümrüt Mahallesi
120,21 Ve Üzeri,3,Kiracı Oturuyor,,,1,Konut,100,2+1,1.Kat,Kombi Doğalgaz,Hayır,Daire,1250000,Kentsel dönüşüm projesi kapsamında yatırımlık kiracılı satılık daire belediye tarafından proje başlatılmış daire sahipleri ile görüşmeler başlamıştır alan kazanır,Kayseri,Melikgazi,Aydınlıkevler Mahallesi
500,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,İkinci El,,2,Konut,400,6+2,,Kombi Doğalgaz,Hayır,Müstakil Ev,4350000,,Kayseri,Talas,Tablakaya Mahallesi
130,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,,,1,Konut,120,2+1,2.Kat,Kombi Doğalgaz,Hayır,Daire,1200000,3+1 den 2+1 çevrilmiş cadde üzerinde asansörlü dogu güney cephe içi yapılı,Kayseri,Kocasinan,Sahabiye Mahallesi
240,5-10,2,Boş,İkinci El,,2,Konut,220,6+1,,Kombi Doğalgaz,Hayır,Müstakil Ev,4950000,,Kayseri,Talas,Yukarı Mahallesi
175,2,14,Mülk Sahibi Oturuyor,İkinci El,,2,Konut,135,3+1,8.Kat,Merkezi (Pay Ölçer),Hayır,Daire,2075000,,Kayseri,Melikgazi,Bahçelievler Mahallesi
175,0 (Yeni),12,Boş,Sıfır,Boş,2,Konut,135,3+1,6.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1850000,MYK BELGE NO:YB0088/17UY03335/00/3508,Kayseri,Melikgazi,Tavlusun Mahallesi
130,0 (Yeni),10,Boş,Sıfır,,2,Konut,100,3+0,4.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1700000,Dairemizi görmek ve detaylı bilgi için bize iletişim numaralarımızdan ulaşınız,Kayseri,Kocasinan,Beyazşehir Mahallesi
165,5-10,6,Kiracı Oturuyor,,Boş,1,Konut,135,3+0,3.Kat,Kombi Doğalgaz,Hayır,Daire,1375000,,Kayseri,Talas,Yenidoğan Mahallesi
100,5-10,12,Kiracı Oturuyor,,,1,Konut,85,2+1,1.Kat,Merkezi Doğalgaz,Evet,Daire,1390000,,Kayseri,Talas,Yenidoğan Mahallesi
175,2,14,Kiracı Oturuyor,İkinci El,,2,Konut,155,3+1,9.Kat,Merkezi (Pay Ölçer),Hayır,Daire,2525000,,Kayseri,Talas,Mevlana Mahallesi
180,4,12,Mülk Sahibi Oturuyor,,,1,Konut,165,3+1,8.Kat,Merkezi Doğalgaz,Hayır,Daire,1950000,"180 metrekare, dogu-güney-batı cephe , 8.kat 3+1 4 yıllık bina",Kayseri,Melikgazi,İldem Cumhuriyet Mahallesi
750,3,3,Mülk Sahibi Oturuyor,İkinci El,,4,Konut,420,8+1,,Kombi Doğalgaz,Hayır,Villa,24895000,,Kayseri,Melikgazi,Erenköy Mahallesi
270,4,3,Boş,,,3,Konut,250,8+1,Villa Tipi,Kombi Doğalgaz,Hayır,Daire,12500000,Kayseri Hisarcık bedende Mahallesi 1610 metre arsa içerisinde bulunan triplex villamız satılıktır 3 katlı her katta banyosu mevcuttur yeşil alanın yüzme havuzu kameliyatı mevcuttur,Kayseri,Melikgazi,Becen Mahallesi
187,5-10,14,Boş,,,2,Konut,155,3+1,12.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1950000,Detaylı bilgi için lütfen arayın,Kayseri,Talas,Mevlana Mahallesi
140,5-10,5,Mülk Sahibi Oturuyor,,,1,Konut,112,3+1,1.Kat,Kombi Doğalgaz,Hayır,Daire,1145000,,Kayseri,Melikgazi,Demokrasi Mahallesi
187,5-10,14,Boş,,,2,Konut,155,3+1,1.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1750000,Detaylı bilgi için lütfen arayın,Kayseri,Talas,Mevlana Mahallesi
395,5-10,13,Mülk Sahibi Oturuyor,,Boş,3,Konut,315,5+1,13.Kat,Kombi Doğalgaz,Hayır,Daire,4950000,,Kayseri,Melikgazi,Germir Mahallesi
170,0 (Yeni),12,Boş,,,2,Konut,130,3+1,4.Kat,Merkezi Doğalgaz,Hayır,Daire,3750000,,Kayseri,Melikgazi,Yıldırım Beyazıt Mahallesi
175,5-10,6,Mülk Sahibi Oturuyor,,,2,Konut,135,3+1,5.Kat,Merkezi (Pay Ölçer),Evet,Daire,1975000,,Kayseri,Melikgazi,Kazımkarabekir Mahallesi
120,4,4,Mülk Sahibi Oturuyor,İkinci El,Eşyalı,1,Konut,100,2+1,3.Kat,Kombi Doğalgaz,Hayır,Daire,1150000,,Kayseri,Develi,Bahçelievler Mahallesi
165,0 (Yeni),14,Boş,,Boş,2,Konut,135,3+1,2.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1970000,,Kayseri,Kocasinan,Zümrüt Mahallesi
240,4,14,Boş,,,2,Konut,183,4+1,13.Kat,Merkezi (Pay Ölçer),Hayır,Daire,5750000,,Kayseri,Kocasinan,Uğurevler Mahallesi
537,4,2,Boş,İkinci El,Boş,3,Konut,190,4.5+1,,Kombi Doğalgaz,Hayır,Villa,5150000,,Kayseri,Melikgazi,Altınoluk Mahallesi
170,2,17,Kiracı Oturuyor,,,2,Konut,130,3+1,5.Kat,Merkezi Doğalgaz,Evet,Daire,2095000,,Kayseri,Kocasinan,Sahabiye Mahallesi
150,5-10,2,Mülk Sahibi Oturuyor,,,1,Konut,130,3+1,1.Kat,Kombi Doğalgaz,Evet,Daire,2000000,Develi Bahçelievlerde Bulunan Site İçerisinde Bulunan Satılık Dairemiz,Kayseri,Develi,Bahçelievler Mahallesi
115,5-10,2,Boş,,,Yok,Konut,95,1 Oda,Düz Giriş (Zemin),Isıtma Yok,Hayır,Daire,1099000,,Kayseri,Melikgazi,Esenyurt Mahallesi
165,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,İkinci El,,1,Konut,135,3+1,4.Kat,Merkezi Doğalgaz,Hayır,Daire,1350000,,Kayseri,Melikgazi,Osman Kavuncu Mahallesi
130,0 (Yeni),4,Boş,Sıfır,Boş,2,Konut,120,3+1,Düz Giriş (Zemin),Kombi Doğalgaz,Hayır,Daire,1260000,,Kayseri,Develi,Mehmet Akif Ersoy Mahallesi
125,21 Ve Üzeri,1,Mülk Sahibi Oturuyor,İkinci El,,1,Konut,100,2+1,,Kombi Doğalgaz,Hayır,Müstakil Ev,850000,,Kayseri,Develi,Güneyyukarı Mahallesi
135,11-15,15,Kiracı Oturuyor,,,1,Konut,115,3+1,9.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1200000,"TALAS MEVLANA MAHALLESİ MEHMET TİMUÇİN CADDESİ ÜZERİNDE HARİKA KONUMLU GÜNEY BATI CEPHELİ ÖNÜ AÇIK İÇİ YAPILI MASRAFSIZ, SOSYAL YAŞAM ALANLARI İÇERİSİNDE, ACİL SATILIK ANAYURT DAİRESİ",Kayseri,Talas,Mevlana Mahallesi
125,2,14,Kiracı Oturuyor,,,1,Konut,115,2+1,3.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1365000,,Kayseri,Talas,Mevlana Mahallesi
165,4,11,Boş,İkinci El,,1,Konut,130,3+1,10.Kat,Merkezi Doğalgaz,Hayır,Daire,1650000,,Kayseri,Melikgazi,Bahçelievler Mahallesi
175,5-10,12,Mülk Sahibi Oturuyor,,,2,Konut,140,3+1,6.Kat,Merkezi Doğalgaz,Hayır,Daire,1620000,"İldem C dairesi AVM ,tramvaya yakın 6 .kat gb cephe İçi temiz kullanılmış vestiyer hariç full yapılı masrafsız ildemin en güzel c dairesidir .Daha fazla bilgi için, arsyiniz",Kayseri,Melikgazi,Gesi Fatih Mahallesi
120,2,14,Kiracı Oturuyor,,,1,Konut,100,2.5+1,3.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1380000,"TALAS MEVLANA MAHALLESİ PAPATYA CADDESİ YAKININDA 2 YAŞINDA 2,5+1 3.KAT GD CEPHELİ SOSYAL YAŞAM ALANLARI İÇERİSİNDE SATILIK DAİRE",Kayseri,Talas,Mevlana Mahallesi
145,11-15,10,Boş,,,1,Konut,125,3+1,9.Kat,Merkezi Doğalgaz,Hayır,Daire,1190000,"BELSİN TINAZTEPE MAH SATILIK 3+1 ORGANİZE SANAYİ BÖLGESİNE 5 DAKİKA MESAFEDE OLUP KONUM OLARAK HARİKA TRAMVAY DURAĞINA 5 DAKİKA MESEFEDE DAİREMİZ BOŞ OLUP 9KATLI BİNANIN 8.KATİ ACİL SATILIK, DETAYLI BİLGİ İÇİN ARAYINIZ LÜTFEN",Kayseri,Melikgazi,Tınaztepe Mahallesi
165,5-10,14,Kiracı Oturuyor,,Boş,1,Konut,135,3+1,1.Kat,Merkezi Doğalgaz,Hayır,Daire,1450000,,Kayseri,Talas,Mevlana Mahallesi
175,5-10,14,Boş,,Boş,2,Konut,135,3+1,10.Kat,Merkezi Doğalgaz,Hayır,Daire,1625000,,Kayseri,Talas,Yenidoğan Mahallesi
165,16-20,6,Kiracı Oturuyor,,,1,Konut,135,3+1,5.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1275000,,Kayseri,Melikgazi,Esentepe Mahallesi
160,5-10,9,Kiracı Oturuyor,,,1,Konut,130,3+1,3.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1515000,Detaylı bilgi için lütfen arayın,Kayseri,Talas,Mevlana Mahallesi
110,5-10,11,Boş,,Boş,1,Konut,90,2.5+1,8.Kat,Merkezi Doğalgaz,Hayır,Daire,1295000,,Kayseri,Melikgazi,Kazımkarabekir Mahallesi
120,0 (Yeni),4,Boş,Sıfır,Boş,1,Konut,99,2+1,1.Kat,Kombi Doğalgaz,Hayır,Daire,1250000,,Kayseri,Develi,Reşadiye Mahallesi
165,0 (Yeni),10,Boş,,Boş,1,Konut,135,3+1,3.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1440000,,Kayseri,Kocasinan,Osmangazi Mahallesi
175,0 (Yeni),14,Boş,,Boş,2,Konut,155,3+1,7.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1950000,,Kayseri,Talas,Mevlana Mahallesi
175,0 (Yeni),10,Boş,Sıfır,,2,Konut,145,3+1,9.Kat,Merkezi Doğalgaz,Hayır,Daire,2350000,Detaylı bilgi için lütfen arayınız.,Kayseri,Talas,Bahçelievler Mahallesi
125,1,14,Kiracı Oturuyor,,,2,Konut,100,2.5+1,10.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1580000,,Kayseri,Talas,Mevlana Mahallesi
110,0 (Yeni),5,Boş,,Boş,1,Konut,90,2+1,3.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1400000,,Kayseri,Kocasinan,Oymaağaç Mahallesi
120,5-10,14,Kiracı Oturuyor,İkinci El,,1,Konut,100,2+1,11.Kat,Merkezi Doğalgaz,Hayır,Daire,1520000,,Kayseri,Melikgazi,Yeşilyurt Mahallesi
185,5-10,12,Mülk Sahibi Oturuyor,,,2,Konut,145,3+1,9.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1400000,,Kayseri,Kocasinan,Beyazşehir Mahallesi
150,11-15,14,Mülk Sahibi Oturuyor,,Boş,1,Konut,130,3+1,Kot 1 (-1).Kat,Merkezi Doğalgaz,Hayır,Daire,1285000,,Kayseri,Talas,Mevlana Mahallesi
380,3,2,Mülk Sahibi Oturuyor,,Boş,3,Konut,320,6+1,,Kombi Doğalgaz,Hayır,Villa,13750000,,Kayseri,Melikgazi,Becen Mahallesi
160,0 (Yeni),6,Boş,Sıfır,Boş,2,Konut,115,3+1,1.Kat,Kombi Doğalgaz,Hayır,Daire,1700000,,Kayseri,Melikgazi,Hürriyet Mahallesi
100,0 (Yeni),4,Boş,Yapım Aşamasında,,1,Konut,75,2+1,1.Kat,Kombi Doğalgaz,Hayır,Daire,1250000,,Kayseri,Develi,Mustafa Asım Köksal Mahallesi
210,16-20,10,Mülk Sahibi Oturuyor,,,2,Konut,170,3+1,2.Kat,Merkezi (Pay Ölçer),Hayır,Daire,3050000,,Kayseri,Melikgazi,Alpaslan Mahallesi
350,5-10,1,Boş,,,1,Konut,60,1.5+1,Villa Tipi,Güneş Enerjisi,Hayır,Daire,2250000,,Kayseri,Melikgazi,Becen Mahallesi
400,16-20,2,Boş,,Boş,3,Konut,300,5+2,,Kombi Doğalgaz,Hayır,Villa,7500000,,Kayseri,Hacılar,Akyazı Mahallesi
