Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yapı Durumu,Eşya Durumu,Banyo Sayısı,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Site İçerisinde,Kategori,Fiyat,İlan Açıklaması,Şehir,İlçe,Mahalle
210,0 (Yeni),13,Boş,,,2,Konut,190,4+1,4.Kat,Merkezi (Pay Ölçer),Hayır,Daire,3940000,,Kayseri,Kocasinan,Yakut Mahallesi
155,21 Ve Üzeri,3,Kiracı Oturuyor,İkinci El,,1,Konut,120,3+1,3.Kat,Kombi Doğalgaz,Hayır,Daire,1150000,Kentsel dönüşüm dairesi kiracili 2.etap tan sözleşme yapıldı,Kayseri,Kocasinan,Sahabiye Mahallesi
300,0 (Yeni),3,Boş,Yapım Aşamasında,,3,Konut,250,7+1,,Kombi Doğalgaz,Hayır,Villa,19500000,,Kayseri,Talas,Tablakaya Mahallesi
175,0 (Yeni),14,Boş,,Boş,2,Konut,155,3+1,1.Kat,Merkezi Doğalgaz,Hayır,Daire,1750000,,Kayseri,Melikgazi,Esentepe Mahallesi
165,21 Ve Üzeri,7,Mülk Sahibi Oturuyor,,,1,Konut,150,3+1,4.Kat,Kombi Doğalgaz,Hayır,Daire,1600000,,Kayseri,Kocasinan,Gevhernesibe Mahallesi
230,21 Ve Üzeri,2,Boş,,,1,Konut,189,9+ Oda,,Sobalı,Hayır,Müstakil Ev,600000,"Reşadiye yonu taş kargir ev aslına uygun restorasyon yapılabilir, 227 M2 toplam 3 tapu, 2 adet kargir ev tapusu, 1 adet güvercinlik tapusu mevcuttur",Kayseri,Talas,Reşadiye Mahallesi
175,1,6,Boş,,Boş,2,Konut,135,3+1,1.Kat,Kombi Doğalgaz,Hayır,Daire,1625000,,Kayseri,Melikgazi,Şirintepe Mahallesi
175,11-15,14,Boş,İkinci El,,2,Konut,140,3+1,7.Kat,Kombi Doğalgaz,Hayır,Daire,2050000,Mevlana Mahallesi'nde işlek cadde üzerinde tramway güzergahında sağlık ocağı karşısı kalite evler de satılık 175 m² çift banyo çift balkonlu kilerli dairemiz satılıktır. Pazarlık payımız vardır tekliflere açığız. Alana hayırlı olsun inşallah SEM Grup Gayrimenkul,Kayseri,Talas,Mevlana Mahallesi
175,0 (Yeni),7,Boş,,Boş,1,Konut,150,3+1,5.Kat,Merkezi (Pay Ölçer),Hayır,Daire,2750000,,Kayseri,Kocasinan,Uğurevler Mahallesi
170,11-15,14,Boş,İkinci El,,1,Konut,137,3+1,13.Kat,Merkezi Doğalgaz,Hayır,Daire,2150000,,Kayseri,Melikgazi,Alpaslan Mahallesi
155,0 (Yeni),14,Boş,,Boş,2,Konut,120,3+1,5.Kat,Merkezi Doğalgaz,Evet,Daire,310000,,Kayseri,Melikgazi,Tavlusun Mahallesi
185,2,9,Boş,,Boş,2,Konut,165,4+1,3.Kat,Merkezi (Pay Ölçer),Hayır,Daire,2150000,,Kayseri,Kocasinan,Osmangazi Mahallesi
185,21 Ve Üzeri,12,Kiracı Oturuyor,İkinci El,,1,Konut,160,3+1,Yüksek Giriş,Merkezi Doğalgaz,Hayır,Daire,1650000,"Geniş ferah daire, Geniş banyo, Açık oto park, Yakının geniş park gezme alani",Kayseri,Kocasinan,Erciyesevler Mahallesi
180,0 (Yeni),10,Boş,Sıfır,Boş,2,Konut,140,3+1,3.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1800000,"SAHİBİNDEN SIFIR, KREDİYE UYGUN, KAOĞLU YAPI ERKİLET YAPRAK KONUTLARINDA, 3+1, GÜNEY DOĞU CEPHE, KARŞISI OKUL, ÇİFT BANYOLU ÇİFT ASANSÖRLÜ, BRÜT 180 m2 NET 140 m2 DAİRE, Apartmanın karşısı ilkokul, Çocuk Hastanesine 5 dakika, Bölge Hastanesine 8 dakika, Nuh Naci Yazgan Üniversitesine 8 dakika, Şehirler Arası Otobüs Terminaline 10 dakika, Şehir Merkezine 12 dakika, Görseller örnek daire görselleridir., Dairemiz bitme aşamasında olup 1-1,5 ay içinde teslim edilecektir., Ayrıntılı bilgi için arayınız.🌸",Kayseri,Kocasinan,Osmangazi Mahallesi
110,5-10,11,Boş,,,1,Konut,100,2+1,5.Kat,Merkezi Doğalgaz,Hayır,Daire,1130000,100 m2 merkezi sistem 2+1 Batı cephesi yeri ve konumu lokasyonu güzel ister oturum için ister yatırım için ideal bir yer. Kiralık getirisi güzel,Kayseri,Melikgazi,Anbar Mahallesi
130,21 Ve Üzeri,10,Boş,İkinci El,Boş,1,Konut,120,3+1,4.Kat,Kombi Doğalgaz,Hayır,Daire,1050000,"KOCATEPE MAHALLESİNDE 130M2 10KATLININ 4.KATI KOMBİLİ YAPILI KUZEYBATI CEPHELİ EMESPLAN DAİRE KÜRSÜEMLAKOFİSİ GÜVENCESİ İLE SATILIKTIR🏠, KONUM OLARAK CADDEYE BAKMAKTA OLUP BELSİN PARKI ÜZERİNDE 19 MAYIS VE BELSİN KÜRSÜ TRAMWAY DURAĞINA YAKIN BANKA POSTAHANE FIRIN OKUL CAMİİ YAKININDADIR., AYRINTILI BİLGİ İÇİN LÜTFEN İLETİŞİME GEÇİNİZ., ☎️, ☎️, KürsüEmlakOfisi🏠, GüveneAtılanİmza✍️, O F İ S, BelsinKürsüTramvayDurağı🚂, PTT Arkası",Kayseri,Melikgazi,Kocatepe Mahallesi
185,5-10,14,Boş,,Boş,2,Konut,165,3+1,2.Kat,Merkezi (Pay Ölçer),Evet,Daire,1699000,,Kayseri,Talas,Mevlana Mahallesi
120,21 Ve Üzeri,4,Kiracı Oturuyor,İkinci El,,1,Konut,100,3+1,3.Kat,Kombi Doğalgaz,Hayır,Daire,1080000,,Kayseri,Melikgazi,Gesi Fatih Mahallesi
